Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Town Centre Shop Front Grants,Grants,27-Jul-2011,200005922,Ward Contracting Ltd,882.70
Barrow Borough Council,Town Centre Shop Front Grants,Grants,06-Jul-2011,200005548,Bryan Moncur Ltd,"2,044.44"
Barrow Borough Council,Responsive HRA stock maintenance - main contractor,Central overheads,27-Jul-2011,200005927,Integral UK Ltd,"9,272.87"
Barrow Borough Council,Homeless families and dispersed accommodation,Furniture,13-Jul-2011,200005665,Furniture Resource Centre,924.92
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,27-Jul-2011,200005842,Keith Wilson Elec Con Ltd,"2,850.14"
Barrow Borough Council,Long term credits/liabilities - deferred liabilities,Pensions liability/assets,20-Jul-2011,200005797,Cumbria County Council,"1,659.27"
Barrow Borough Council,Playground,Equipment purchase,06-Jul-2011,200005546,Play Safe,860.00
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,13-Jul-2011,200005646,Liberata Uk Ltd,"49,139.75"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,06-Jul-2011,200005551,Keith Wilson Elec Con Ltd,"16,744.56"
Barrow Borough Council,The park leisure centre,Professional fees,20-Jul-2011,200005781,Pulse Fitness Limited,"7,464.19"
Barrow Borough Council,Waste collection,Refuse collection,13-Jul-2011,200005686,BIFFA,"64,489.57"
Barrow Borough Council,Disabled Facilities Grant,Grants,20-Jul-2011,200005772,Handicare Accessibility Ltd,"1,640.00"
Barrow Borough Council,Disabled Facilities Grant,Grants,06-Jul-2011,200005575,Liftable Ltd,"1,158.00"
Barrow Borough Council,TIC shop,TIC - third party income,20-Jul-2011,200005755,Alfa Travel,702.00
Barrow Borough Council,Godspell by cast,Professional fees,13-Jul-2011,200005669,Linney PA Systems,598.01
Barrow Borough Council,The park leisure centre,Professional fees,06-Jul-2011,200005564,Ulverston Health Club,"1,740.00"
Barrow Borough Council,Phoenix business centre,Telephone - rentals,13-Jul-2011,200005672,Furness Internet Ltd,500.00
Barrow Borough Council,Current assets - stocks,TIC stock,20-Jul-2011,200005723,Richard Lang & Son Ltd,540.42
Barrow Borough Council,Long term credits/liabilities - deferred liabilities,Pensions liability/assets,13-Jul-2011,200005697,Cumbria County Council,"7,106.09"
Barrow Borough Council,Public conveniences,Building cleaning,13-Jul-2011,200005648,Bulloughs Cleaning Serv Ltd,"2,010.81"
Barrow Borough Council,Planning,Conservation area partnership,06-Jul-2011,200005566,Pickerings Scaffolding Ltd,500.00
Barrow Borough Council,Estates management,Buildings repairs and maintenance,27-Jul-2011,200005839,Bryan Moncur Ltd,510.00
Barrow Borough Council,Technical services,Telephone - calls,20-Jul-2011,200005762,Liberata Uk Ltd,"2,919.77"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,13-Jul-2011,200005627,AB Mitchell Developments,"17,382.08"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,06-Jul-2011,200005523,AB Mitchell Developments,"3,838.80"
Barrow Borough Council,TIC shop,TIC - third party income,13-Jul-2011,200005636,Alfa Travel,658.00
Barrow Borough Council,Crematorium,Grounds maintenance,27-Jul-2011,200005932,Continental Landscapes Ltd,"1,251.56"
Barrow Borough Council,Information technology,Telephone - rentals,20-Jul-2011,200005762,Liberata Uk Ltd,"3,150.58"
Barrow Borough Council,Abbey musical society,Admissions,13-Jul-2011,200005684,Abbey Musical Society,"2,403.00"
Barrow Borough Council,Neighbourhood Management Team,Other expenses,20-Jul-2011,200005800,Grit & Pearl LLP,"1,800.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,20-Jul-2011,200005759,Optech Fibres,540.00
Barrow Borough Council,Waterside house,Electricity,27-Jul-2011,200005870,SmartestEnergy Ltd,851.70
Barrow Borough Council,Dock museum,Electricity,20-Jul-2011,200005775,Scottish Hydro Electric,912.72
Barrow Borough Council,The park leisure centre,Professional fees,20-Jul-2011,200005832,Ulverston Health Club,"1,780.00"
Barrow Borough Council,Occupational health,Professional fees,06-Jul-2011,200005539,Nine Lives Risk Management Ltd,"2,590.64"
Barrow Borough Council,Barrow town hall,Electricity,20-Jul-2011,200005773,SmartestEnergy Ltd,"2,312.05"
Barrow Borough Council,The park leisure centre,Maintenance contracts,13-Jul-2011,200005625,Integral UK Ltd,796.91
Barrow Borough Council,Street cleansing,Street cleansing,13-Jul-2011,200005686,BIFFA,"75,815.08"
Barrow Borough Council,Emlyn Hughes house,Maintenance contracts,13-Jul-2011,200005625,Integral UK Ltd,746.66
Barrow Borough Council,Neighbourhood Management Team,Other expenses,27-Jul-2011,200005869,Cumbria CVS Eden,546.30
Barrow Borough Council,Private Sector Housing Condition Survey,Professional fees,27-Jul-2011,200005884,Building Research Establishment Ltd,"2,250.00"
Barrow Borough Council,Parks and open spaces,Grounds maintenance,27-Jul-2011,200005932,Continental Landscapes Ltd,"3,702.70"
Barrow Borough Council,Crematorium,Grounds maintenance,06-Jul-2011,200005533,Continental Landscapes Ltd,967.11
Barrow Borough Council,Events & festivals management,Events funded by the Festival Fund,06-Jul-2011,200005605,North Walney Ten &  Residents Assoc,500.00
Barrow Borough Council,Democratic services,Printing and stationery,20-Jul-2011,200005793,Fingerprints,568.46
