Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
DWP,HEALTH AND SAFETY EXECUTIVE,28/08/2014,EXP - PURCHASE OF GOODS/SERVICES - PUBLICITY,COMMUNICATIONS DIRECTORATE,23RED LTD,6000027481,98939.46,ASBESTOS CAMPAIGN
DWP,HEALTH AND SAFETY EXECUTIVE,14/08/2014,EXP -G & S -OTHER- AALA CHARGES (ADV ACTIVITY LIC),FIELD OPERATIONS DIRECTORATE,ADVENTURE ACTIVITIES LICENCING SERVICE,1000210,66486.45,AALA INVOICE
DWP,HEALTH AND SAFETY EXECUTIVE,26/08/2014,EXP - SERVICE ELEMENT OF PFI FINANCE LEASES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,6000027416,372910.63,UNITARY PAYMENT BOOTLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,26/08/2014,FE-INT PAYABLE TO PRIV SECTOR-FINANCE LEASES (PFI),BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,6000027416,396887.01,PFI FINANCE CHARGES BOOTLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,26/08/2014,CL-IMPUTED FIN LEASE ELEMT OF ON-SOFP PFI CONTRACT,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,6000027416,71442.63,PFI FINANCE CHARGES
DWP,HEALTH AND SAFETY EXECUTIVE,29/08/2014,EXP-PURCHASE OF G & S-LEGAL COSTS NON VAT RECOVBLE,HAZARDOUS INSTALLATIONS DIRECTORATE,BROWNE JACOBSON SOLICITORS,6000027539,1811.93,COST OF PROSECUTION - LEGAL COSTS
DWP,HEALTH AND SAFETY EXECUTIVE,29/08/2014,EXP-PURCH OF G & S-SOLCTR AGENT COST NON VAT RECOV,HAZARDOUS INSTALLATIONS DIRECTORATE,BROWNE JACOBSON SOLICITORS,6000027539,25125,COST OF PROSECUTION - SOLICITOR AGENTS COSTS
DWP,HEALTH AND SAFETY EXECUTIVE,29/08/2014,EXP - PURCH OF G & S - COUNSEL COSTS NON VAT RECOV,HAZARDOUS INSTALLATIONS DIRECTORATE,BROWNE JACOBSON SOLICITORS,6000027539,18045,COST OF PROSECUTION - COUNSEL COSTS
DWP,HEALTH AND SAFETY EXECUTIVE,06/08/2014,EXP - PURCH OF G & S - OTHER- DEPARTMENTAL CHARGES,HUMAN RESOURCES,CABINET OFFICE,6000026665,89087.59,EXPERT SERVICES INCLUDING CIVIL SERVICE LEARNING ETC.
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,2939.95,FACILITIES MANAGEMENT CORE SERVICES CARLISLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,79.2,FACILITIES MANAGEMENT NON CORE SERVICES CARLISLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,29927.45,FACILITIES MANAGEMENT CORE SERVICES LIVERPOOL OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,168.3,FACILITIES MANAGEMENT NON CORE SERVICES LIVERPOOL OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,8710.16,FACILITIES MANAGEMENT CORE SERVICES SHEFFIELD OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,198.44,FACILITIES MANAGEMENT NON CORE SERVICES SHEFFIELD OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,589.65,FACILITIES MANAGEMENT CORE SERVICES NOTTINGHAM OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,5293,FACILITIES MANAGEMENT CORE SERVICES NORTHAMPTON OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,90.86,FACILITIES MANAGEMENT NON CORE SERVICES NORTHAMPTON OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,5108.63,FACILITIES MANAGEMENT CORE SERVICES STOKE-ON-TRENT OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,88.28,FACILITIES MANAGEMENT NON CORE SERVICES STOKE-ON-TRENT OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,8254.52,FACILITIES MANAGEMENT CORE SERVICES BIRMINGHAM OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,493.43,FACILITIES MANAGEMENT NON CORE SERVICES BIRMINGHAM OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,658.67,FACILITIES MANAGEMENT CORE SERVICES BEDFORD OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,658.67,FACILITIES MANAGEMENT CORE SERVICES CHELMSFORD OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,7138.84,FACILITIES MANAGEMENT CORE SERVICES LONDON SOUTHWARK OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,781.31,FACILITIES MANAGEMENT NON CORE SERVICES LONDON SOUTHWARK OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,10033.18,FACILITIES MANAGEMENT CORE SERVICES BASINGSTOKE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,6867.81,FACILITIES MANAGEMENT NON CORE SERVICES BASINGSTOKE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,658.67,FACILITIES MANAGEMENT CORE SERVICES OXTED OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,2739.38,FACILITIES MANAGEMENT CORE SERVICES ASHFORD OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,82.06,FACILITIES MANAGEMENT NON CORE SERVICES ASHFORD OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,20/08/2014,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES DIRECTORATE,CARILLION SERVICES LTD,6000027256,3106.39,FACILITIES MANAGEMENT CORE SERVICES CHELTENHAM OFFICE
