Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Medical Agency Staff,Medicine and Community,BARDOC LTD,0001387758,"37,104.93"
Department of Health,The Pennine Acute Hospitals NHS Trust,26/06/2014,Medical Agency Staff,Medicine and Community,BARDOC LTD,0001375059,"38,779.93"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,M & S Equipment Maint Contract,Medicine and Community,NHS SUPPLY CHAIN,0001380479,"40,744.23"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Non NHS Services General,Medicine and Community,COMMUNITY INTEGRATED CARE,0001382029,"37,774.93"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,SLA Manchester PCT - Estates,Medicine and Community,NHS PROPERTY SERVICES LTD,0001385978,"205,033.31"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Miscellaneous Expenditure,Surgery,LEICA MICROSYSTEMS (UK) LTD,0001389470,526.69
Department of Health,The Pennine Acute Hospitals NHS Trust,12/06/2014,Atlas (P & H),Diagnostics & Clinical Support,P&H CARE LTD,0001382925,"52,215.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,27/06/2014,Blood Gas Analyser,Diagnostics & Clinical Support,SIEMENS HEALTHCARE DIAGNOSTICS LTD,0001384668,"64,280.26"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001392448,"-122,950.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,23/06/2014,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001390102,"63,152.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/06/2014,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001385607,"93,025.35"
Department of Health,The Pennine Acute Hospitals NHS Trust,02/06/2014,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001374448,"157,350.32"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Reagent,Diagnostics & Clinical Support,ROCHE DIAGNOSTICS LTD,0001389611,"12,971.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Reagent,Diagnostics & Clinical Support,ROCHE DIAGNOSTICS LTD,0001389611,"15,226.92"
Department of Health,The Pennine Acute Hospitals NHS Trust,19/06/2014,Reagent,Diagnostics & Clinical Support,ROCHE DIAGNOSTICS LTD,0001389611,"28,198.00"
