Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/09/2017,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010051200,"£38,169.96",NCA JUNE FLEX 2017,
Department of Health,03F,30/09/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000025869,"£37,852.67",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000025871,"£165,551.28",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000025873,"£95,119.28",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000025875,"£45,541.12",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000025877,"£69,360.13",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000025879,"£96,589.12",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000025881,"£264,186.00",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000025883,"£64,965.76",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUAYS MEDICAL CENTRE,KHU000025885,"£75,753.88",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000025887,"£46,668.84",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STORY STREET PRACTICE & WALK IN CENTRE,KHU000025889,"£123,718.22",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000025891,"£84,657.06",CONTRACT PAYMENTS MONTH 6,
Department of Health,03F,30/09/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000026043,"£58,680.73",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/09/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000026047,"£156,684.51",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/09/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000026049,"£116,875.06",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/09/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000026051,"£85,951.34",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/09/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000026053,"£34,670.03",LOCAL ENHANCED SERVICES,
