"Capital
Revenue",Cost Centre,Organisation,Transaction No.,Supplier Name,Expense Type,,,,
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,01/02/2018,0000212352,700.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,01/02/2018,0000212354,700.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,01/02/2018,0000212355,700.00,Revenue,Project 114 Ltd,13693
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,01/02/2018,0000212356,528.50,Revenue,Pump Services Surrey Ltd,02866
Rushmoor Borough Council,Legal,1210,Contract Staff,01/02/2018,0000212358,864.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,01/02/2018,0000212359,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Community,2517,Sporting Equipment,01/02/2018,0000212360,6315.00,Revenue,Mark Harrod Ltd,14889
Rushmoor Borough Council,Community,2555,Water,01/02/2018,0000212361,544.08,Revenue,South East Water Ltd,01850
Rushmoor Borough Council,Information Technology,3307,Mobile Phones,01/02/2018,0000212364,444.42,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Community,2518,Refreshment Purchases,01/02/2018,0000212365,342.70,Revenue,Bentons,12526
Rushmoor Borough Council,Information Technology,3303,Software Maintenance,01/02/2018,0000212367,5527.00,Revenue,Hornbill Service Management Limited,08904
Rushmoor Borough Council,Community,2538,External Printing,08/02/2018,0000212368,-540.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Community,2537,External Printing,08/02/2018,0000212369,540.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Community,2538,External Printing,08/02/2018,0000212369,660.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Legal,1210,Contract Staff,08/02/2018,0000212371,1645.60,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,08/02/2018,0000212372,1790.80,Revenue,Hays,02287
Rushmoor Borough Council,Community,2537,Electricity,01/02/2018,0000212373,1605.46,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3305,Electricity,01/02/2018,0000212374,6046.51,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3305,Tree Maintenance,01/02/2018,0000212375,1350.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Environmental Health and Housing,2402,North Lane Lodge,08/02/2018,0000212378,15000.00,Revenue,Society Of St James,13585
Rushmoor Borough Council,Information Technology,7500,Web Developments,01/02/2018,0000212379,1000.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Democratic Services,1327,Software Maintenance,22/02/2018,0000212380,2090.00,Revenue,Capita Business Services Ltd,00208
Rushmoor Borough Council,Community,2518,Payment to Artistes,01/02/2018,0000212381,7849.62,Revenue,Phil Mcintyre Entertainments Ltd,10690
Rushmoor Borough Council,Community,6589,Contract Costs,01/02/2018,0000212382,10380.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2517,Playground Apparatus,01/02/2018,0000212383,1436.13,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Community,6573,Contract Costs,08/02/2018,0000212384,364295.58,Capital,Neilcott Construction Ltd,11099
Rushmoor Borough Council,Information Technology,3305,Operational Equipment,01/02/2018,0000212404,276.62,Revenue,Phonographic Performance Ltd,00726
Rushmoor Borough Council,Community,2556,Specialist Cleaning,08/02/2018,0000212407,1350.00,Revenue,R Collard Ltd,06188
Rushmoor Borough Council,Community,6573,Contract Costs,01/02/2018,0000212418,400.00,Capital,Bernard Sims Associates,10558
Rushmoor Borough Council,Community,2518,Refreshment Purchases,01/02/2018,0000212419,315.94,Revenue,Tchibo Coffee International Ltd,05547
Rushmoor Borough Council,Community,2518,Payment to Artistes,01/02/2018,0000212422,19931.97,Revenue,Fiery Light Pps Ltd,13972
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,08/02/2018,0000212424,27874.93,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Routine Playground Inspections,08/02/2018,0000212424,1920.14,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,08/02/2018,0000212424,8321.59,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Prospect Estate Base,08/02/2018,0000212424,3339.20,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,08/02/2018,0000212424,1315.58,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance,08/02/2018,0000212424,2124.36,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2537,Grounds Maintenance,08/02/2018,0000212424,812.98,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Grounds Maintenance Variations,08/02/2018,0000212424,1198.72,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,08/02/2018,0000212424,540.20,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,08/02/2018,0000212424,748.51,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Base,08/02/2018,0000212424,15102.96,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,08/02/2018,0000212424,3521.82,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Amenity Base,08/02/2018,0000212424,7452.23,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2540,Amenity Variations,08/02/2018,0000212424,3042.00,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2552,Anciliary Costs,08/02/2018,0000212424,610.47,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Transport Materials,08/02/2018,0000212425,914.17,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,01/02/2018,0000212426,707.93,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,08/02/2018,0000212429,497.16,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,01/02/2018,0000212435,2720.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Community,2515,General Repairs and Maintenance,22/02/2018,0000212436,513.00,Revenue,Rme Services Ltd,14566
Rushmoor Borough Council,Legal,1212,General Repairs and Maintenance,22/02/2018,0000212436,513.00,Revenue,Rme Services Ltd,14566
Rushmoor Borough Council,Community,2515,General Repairs and Maintenance,22/02/2018,0000212436,2046.00,Revenue,Rme Services Ltd,14566
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,22/02/2018,0000212436,513.00,Revenue,Rme Services Ltd,14566
Rushmoor Borough Council,Community,2511,General Repairs and Maintenance,08/02/2018,0000212442,732.60,Revenue,Rme Services Ltd,14566
Rushmoor Borough Council,Legal,1235,General Repairs and Maintenance,08/02/2018,0000212443,2923.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2518,Payment to Artistes,15/02/2018,0000212444,2000.00,Revenue,Fiend Productions Ltd,14781
Rushmoor Borough Council,Planning,2609,Temporary Staff,08/02/2018,0000212447,1665.00,Revenue,Vivid Resourcing,14866
Rushmoor Borough Council,Community,2517,Playground Apparatus,08/02/2018,0000212450,1053.00,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,08/02/2018,0000212452,361.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Community,2518,Payment to Artistes,08/02/2018,0000212457,4420.00,Revenue,Attle Costumiers Ltd,14897
Rushmoor Borough Council,Community,2551,Memorial Expenses,08/02/2018,0000212458,295.00,Revenue,Vivedia Ltd,13434
Rushmoor Borough Council,Democratic Services,1327,Postages,08/02/2018,0000212460,1129.20,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2518,Publicity and Advertising,08/02/2018,0000212466,965.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,15/02/2018,0000212467,755.02,Control Accounts,Cyan Solutions Ltd,13258
Rushmoor Borough Council,Environmental Health and Housing,2228,Fuel Costs,08/02/2018,0000212470,254.93,Revenue,Allstar Business Solutions Ltd,00721
Rushmoor Borough Council,Community,2517,Tree Survey Works,08/02/2018,0000212473,1520.00,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,2517,Tree Maintenance,08/02/2018,0000212475,642.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2517,Tree Maintenance,08/02/2018,0000212476,449.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2517,Prospect Trees,08/02/2018,0000212477,608.00,Revenue,Cedardale Arborcultural Specialists Ltd,11645
Rushmoor Borough Council,Community,2517,Playing Fields Tree Survey,08/02/2018,0000212478,754.40,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Legal,1210,Contract Staff,15/02/2018,0000212482,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,15/02/2018,0000212483,504.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2553,Computer Equipment and Software,22/02/2018,0000212485,1875.00,Revenue,Blackburn It Services T/A Bbits,14365
Rushmoor Borough Council,Community,2558,General Repairs and Maintenance,08/02/2018,0000212486,6673.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2559,General Repairs and Maintenance,08/02/2018,0000212487,1717.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2563,Operational Equipment,15/02/2018,0000212488,391.58,Revenue,Kingsfield Computer Products Ltd,08067
Rushmoor Borough Council,Environmental Health and Housing,2218,Agency Staff,08/02/2018,0000212490,439.07,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Environmental Health and Housing,2211,Agency Staff,08/02/2018,0000212490,269.11,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2540,Temporary Traffic Order Advertisements,08/02/2018,0000212495,297.18,Revenue,Bellstan Ltd,04489
Rushmoor Borough Council,Community,2540,Temporary Traffic Order Advertisements,08/02/2018,0000212496,595.49,Revenue,Bellstan Ltd,04489
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,15/02/2018,0000212497,797.30,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,15/02/2018,0000212498,9958.17,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2550,Tree Maintenance,08/02/2018,0000212499,2452.00,Revenue,Foremost Treesurgeons Limited,12040
Rushmoor Borough Council,Community,2553,Doman Road Lease,15/02/2018,0000212501,1199.85,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Community,6573,Contract Costs,15/02/2018,0000212503,274.57,Capital,Ht Scaffolding Systems Ltd,14858
Rushmoor Borough Council,Democratic Services,1327,Security Services,08/02/2018,0000212504,547.00,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2537,Security Services,15/02/2018,0000212505,2228.52,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2517,Playground Apparatus,08/02/2018,0000212506,1053.00,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Community,2518,Cleaning,08/02/2018,0000212507,271.39,Revenue,Jms Janitorial Supplies,00521
Rushmoor Borough Council,Financial Services,3404,External Audit Fee,22/02/2018,0000212508,14623.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Financial Services,3401,Conferences and Seminars,15/02/2018,0000212510,400.00,Revenue,Lavat Consulting Ltd,08576
Rushmoor Borough Council,Legal,1209,Bathroom Safety Flooring,08/02/2018,0000212512,370.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2551,Water,15/02/2018,0000212519,1040.47,Revenue,South East Water Ltd,01850
Rushmoor Borough Council,Community,2537,Lighting Repairs,15/02/2018,0000212534,1063.18,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Community,2558,Payment to Contractor,08/02/2018,0000212535,44949.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,Booking Service Contract,08/02/2018,0000212535,5389.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,Payment to Contractor,08/02/2018,0000212535,11162.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,22/02/2018,0000212536,1587.75,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2515,Cleaning,08/02/2018,0000212545,324.65,Revenue,Ybc Cleaning Services Ltd,08389
Rushmoor Borough Council,Democratic Services,1316,Software Maintenance,08/02/2018,0000212546,7010.00,Revenue,Modern Mindset Ltd,14234
Rushmoor Borough Council,Community,6565,Contract Costs,08/02/2018,0000212547,5070.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,08/02/2018,0000212548,-3130.49,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,08/02/2018,0000212548,-1807.52,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,08/02/2018,0000212549,903.76,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,08/02/2018,0000212549,1565.24,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Consultancy,08/02/2018,0000212554,2464.00,Revenue,Sgw Safety & Security Limited,14822
Rushmoor Borough Council,Environmental Health and Housing,2246,Consultancy,08/02/2018,0000212554,2464.00,Revenue,Sgw Safety & Security Limited,14822
Rushmoor Borough Council,Community,2518,Payment to Artistes,08/02/2018,0000212557,6745.73,Revenue,Phil Mcintyre Entertainments Ltd,10690
Rushmoor Borough Council,Community,2551,Garden of Rememberance Maintenance,22/02/2018,0000212558,2361.60,Revenue,Highway Markings Ltd,14905
Rushmoor Borough Council,Community,2517,Tree Maintenance,15/02/2018,0000212559,866.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Environmental Health and Housing,2211,Agency Staff,15/02/2018,0000212560,281.84,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Environmental Health and Housing,2218,Agency Staff,15/02/2018,0000212560,459.84,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2551,Memorial Vaults,15/02/2018,0000212562,274.00,Revenue,The Columbaria Company,00993
Rushmoor Borough Council,Information Technology,3305,Canteen Subsidy,15/02/2018,0000212563,2098.50,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Director of Community and Environment Services,2100,Training Expenses,22/02/2018,0000212569,379.00,Revenue,Event-X Limited,04123
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,15/02/2018,0000212573,763.82,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,NI Burials,15/02/2018,0000212574,1384.00,Revenue,Ford Mears & Partners,00381
Rushmoor Borough Council,Customer Services,3811,Contract Staff,15/02/2018,0000212577,962.00,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Planning,2609,Temporary Staff,15/02/2018,0000212578,1665.00,Revenue,Vivid Resourcing,14866
Rushmoor Borough Council,Community,2556,Parks,15/02/2018,0000212579,2535.84,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Car Parks,15/02/2018,0000212579,7607.56,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Contract Variations Highways,15/02/2018,0000212579,1027.73,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Doman Road Lease,15/02/2018,0000212579,13864.57,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Highways,15/02/2018,0000212579,67826.15,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Anciliary Costs,15/02/2018,0000212579,464.87,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,22/02/2018,0000212580,705.76,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Clinical Waste,22/02/2018,0000212580,496.08,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,22/02/2018,0000212580,1042.60,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,22/02/2018,0000212580,672.06,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,22/02/2018,0000212580,1651.21,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,22/02/2018,0000212580,1873.97,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2526,Electricity,22/02/2018,0000212581,489.29,Revenue,Total Gas & Power Limited,13301
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212584,288.00,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,7500,Web Developments,15/02/2018,0000212589,1200.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212590,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Community,2565,Trade Refuse,15/02/2018,0000212596,729.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2565,Trade Refuse,15/02/2018,0000212597,830.36,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Information Technology,3304,Disaster Recovery,22/02/2018,0000212606,1790.00,Revenue,Daisy It Business Continuity & Resilianc,09349
Rushmoor Borough Council,Community,2511,General Repairs and Maintenance,15/02/2018,0000212609,2350.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2518,Trade Refuse,15/02/2018,0000212614,370.71,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,15/02/2018,0000212615,813.75,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,22/02/2018,0000212616,2724.12,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,22/02/2018,0000212617,46730.52,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Garden Waste Collection,22/02/2018,0000212617,351.75,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Garden Waste Collection,22/02/2018,0000212617,14152.55,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Anciliary Costs,22/02/2018,0000212617,506.00,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,22/02/2018,0000212617,86222.82,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2555,Payment to Contractor,22/02/2018,0000212618,10228.31,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2517,Prospect Trees,15/02/2018,0000212619,1299.04,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Community,2517,Tree Maintenance,15/02/2018,0000212620,293.84,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Director of Community and Environment Services,2100,Conferences and Seminars,15/02/2018,0000212622,379.00,Revenue,Event-X Limited,04123
Rushmoor Borough Council,Strategy and Communiations,1413,Learning Partnership,15/02/2018,0000212625,3300.00,Revenue,Basingstoke Consortium Limited,13650
Rushmoor Borough Council,Strategy and Communiations,1413,Learning Partnership,15/02/2018,0000212626,500.00,Revenue,Basingstoke Consortium Limited,13650
Rushmoor Borough Council,Legal,1210,Contract Staff,22/02/2018,0000212629,648.00,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,3300,Training Expenses,15/02/2018,0000212630,2000.00,Revenue,Leach Consulting & Associates Ltd,14612
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,15/02/2018,0000212632,1840.00,Revenue,Andy Linke,14293
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,15/02/2018,0000212633,2200.00,Revenue,Andy Linke,14293
Rushmoor Borough Council,Community,2537,Electricity,22/02/2018,0000212639,1490.18,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2551,Electricity,22/02/2018,0000212640,1102.16,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3305,Electricity,22/02/2018,0000212641,6553.54,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2518,Electricity,22/02/2018,0000212642,2347.15,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,7500,Web Developments,15/02/2018,0000212643,1200.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,15/02/2018,0000212647,270.00,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Community,2559,General Repairs and Maintenance,15/02/2018,0000212650,347.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Community,2517,Tree Maintenance,15/02/2018,0000212651,2030.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,15/02/2018,0000212655,795.50,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Community,2518,Payment to Artistes,22/02/2018,0000212666,390.90,Revenue,Team Communications,04557
Rushmoor Borough Council,Community,2553,Doman Road Lease,22/02/2018,0000212667,9804.90,Revenue,Surrey Heath Borough Council,06779
