Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount,
HMRC,VOA,,IT support,Corporate,SPECIALIST COMPUTER CENTRES (EDI),5100006746,"40,337.15",
HMRC,VOA,01/02/2016,Business Rates ,Corporate,CITY OF WESTMINSTER 400872375,5100006658,"-56,430.00",
HMRC,VOA,02/02/2016,Accommodation Charges,Corporate,DTZ,5100006759,"-47,159.47",
HMRC,VOA,03/02/2016,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100006771,"-51,926.95",
HMRC,VOA,04/02/2016,IT services,Corporate,Software Box limited,5100006825,"-54,259.73",
HMRC,VOA,08/02/2016,Economic Consultancy,Corporate,Nera UK Limited,5100006908,"-60,348.00",
HMRC,VOA,16/02/2016,Monthly IT services,Corporate,Fujitsu Services Ltd,1700004420,"86,401.20",
HMRC,VOA,16/02/2016,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,1700004421,"633,141.07",
HMRC,VOA,16/02/2016,Monthly IT services,Corporate,Fujitsu Services Ltd,5100007159,"-399,583.67",
HMRC,VOA,16/02/2016,Communications,Corporate,MAIN-TEL (NE) LTD,5100007166,"-42,138.24",
HMRC,VOA,16/02/2016,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,5100007171,"-1,991,321.61",
HMRC,VOA,17/02/2016,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100007240,"-60,708.96",
HMRC,VOA,19/02/2016,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100007284,"-53,356.67",
HMRC,VOA,19/02/2016,Training,Corporate,CAPITA BUSINESS SERVICES LTD,5100007305,"-55,982.16",
HMRC,VOA,29/02/2016,Legal Costs,Corporate,Peter Brett Associates LLP,1700004588,"76,147.97",
HMRC,VOA,29/02/2016,Royal Mail Postage,Corporate,ROYAL MAIL,1900033642,"-87,534.31",
HMRC,VOA,29/02/2016,Service Charge,Corporate,HMRC - (PAY CONT),1900035423,"-4,500,000.00",
HMRC,VOA,29/02/2016,Service Charge,Corporate,HMRC - (PAY CONT),1900037529,"-2,943,833.17",
HMRC,VOA,29/02/2016,IT services & Development,Corporate,APPNOVATION TECHNOLOGIES LTD.,5100007314,"-76,035.00",
HMRC,VOA,29/02/2016,IT services,Corporate,Software Box limited,5100007428,"-128,026.83",
HMRC,VOA,29/02/2016,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100007459,"-410,962.45",
HMRC,VOA,29/02/2016,IT services,Corporate,Software Box limited,5100007461,"-54,512.28",
HMRC,VOA,29/02/2016,Network charges,Corporate,TNT UK LTD,5100007498,"-52,150.09",
HMRC,VOA,29/02/2016,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100007517,"-410,962.45",
HMRC,VOA,29/02/2016,Consultancy Services,Corporate,Poyry Management Consulting Ltd,5100007527,"-36,000.00",
HMRC,VOA,02/03/2016,IT services,Corporate,Software Box limited,5100006811,"-196,163.28",
