Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003131148,"42,022.79"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003131148,"42,022.79"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003131148,"7,353.99"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003131148,"7,353.99"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,11621/08,"25,028.08"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,11621/08,"4,379.91"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/2135507,"25,740.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/2135993,"37,895.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/08/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO06670,"36,110.02"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/08/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO06670,"6,319.25"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,MED SURG EQPT GENERAL,THEATRES,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1572005,"21,037.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,MED SURG EQPT GENERAL,THEATRES,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1572005,"4,389.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,MED SURG EQPT GENERAL,THEATRES,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1572005,"3,681.56"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,MED SURG EQPT GENERAL,THEATRES,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1572005,768.08
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,MED SURG EQPT GENERAL,THEATRES,KEYMED (MEDICAL AND INDUSTRIAL EQUIPMENT) LTD,CD1572005,-44.50
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,SPECIALIST REGISTRAR,THEATRES,LEEDS TEACHING HOSPITALS NHS TRUST,335549,"25,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,NON - HEALTHCARE - NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,336157,"34,774.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,NON - HEALTHCARE - NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,336162,"25,070.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,NON - HEALTHCARE - NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,336163,"31,048.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/08/2010,NON - HEALTHCARE - NHS TRUSTS,PROVIDER PROVIDER,NHS BLOOD AND TRANSPLANT,795973,"64,926.70"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/08/2010,DRUGS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY,PHS1000024399,"35,150.58"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNE1790063,"68,902.11"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/08/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNE1791914,"57,853.42"
