Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,6500,Contract Costs,08/03/2012,0000157562,-2400.00,Capital,Wicksteed Leisure Limited,11287
Rushmoor Borough Council,Community,2518,Databox Maintenance,15/03/2012,0000164252,1928.60,Revenue,Tickets.Com Ltd,02446
Rushmoor Borough Council,Information Technology,3304,Internet,01/03/2012,0000166267,1126.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2518,Programme Sales,15/03/2012,0000166349,1760.00,Revenue,John Good  Ltd,02516
Rushmoor Borough Council,Community,2518,Licenses/Performing Rights,15/03/2012,0000166374,1980.15,Revenue,The Performing Right Society Ltd,01021
Rushmoor Borough Council,Environmental Health and Housing,2237,Operational Equipment,15/03/2012,0000166528,637.89,Revenue,Wps United Kingdom Ltd,06532
Rushmoor Borough Council,Environmental Health and Housing,2238,Operational Equipment,15/03/2012,0000166528,1295.11,Revenue,Wps United Kingdom Ltd,06532
Rushmoor Borough Council,Community,2537,External Printing,22/03/2012,0000167123,1165.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Community,2518,Snap Discos,15/03/2012,0000167202,987.50,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Community,2551,Building and Monument Maintenance,01/03/2012,0000167362,1495.00,Revenue,Capita Software Services Ltd,07197
Rushmoor Borough Council,Democratic Services,1326,General Repairs and Maintenance,22/03/2012,0000167422,1684.00,Revenue,Lockrite Security Ltd,00360
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,15/03/2012,0000167547,5370.99,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Strategy and Communiations,1413,Subscriptions,01/03/2012,0000167632,5000.00,Revenue,Basingstoke & Deane Borough Council,00141
Rushmoor Borough Council,Democratic Services,1314,Operational Equipment,15/03/2012,0000167659,5000.00,Revenue,Ihs Global Limited,08680
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167662,4701.51,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167663,8538.09,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167664,2191.20,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167665,2410.67,Revenue,Corona Energy,10757
Rushmoor Borough Council,Democratic Services,1322,Gas,01/03/2012,0000167666,2166.78,Revenue,Corona Energy,10757
Rushmoor Borough Council,Democratic Services,1322,Gas,01/03/2012,0000167667,3603.02,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167671,2986.35,Revenue,Corona Energy,10757
Rushmoor Borough Council,Democratic Services,1322,Gas,01/03/2012,0000167673,3740.88,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167677,-4947.68,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167678,-4415.49,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167679,-4037.34,Revenue,Corona Energy,10757
Rushmoor Borough Council,Community,2551,Gas,01/03/2012,0000167680,-4033.32,Revenue,Corona Energy,10757
Rushmoor Borough Council,Democratic Services,1322,Gas,01/03/2012,0000167681,-2176.69,Revenue,Corona Energy,10757
Rushmoor Borough Council,Democratic Services,1322,Gas,01/03/2012,0000167682,-3504.18,Revenue,Corona Energy,10757
Rushmoor Borough Council,Director of Resources,7103,Contract Costs,01/03/2012,0000167690,1499.20,Capital,Hays,02287
Rushmoor Borough Council,Director of Resources,7103,Contract Costs,01/03/2012,0000167691,1601.26,Capital,Cb Richard Ellis Limited,07466
Rushmoor Borough Council,Community,2537,External Printing,01/03/2012,0000167697,940.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Community,2537,Car Park Machine Maintenance,01/03/2012,0000167703,740.77,Revenue,Metric Group Ltd,04436
Rushmoor Borough Council,Community,2515,General Repairs and Maintenance,29/03/2012,0000167706,1400.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1208,R&M Light Fittings,01/03/2012,0000167709,1260.00,Revenue,Chambers Southern Ltd,10517
Rushmoor Borough Council,Community,2543,Aldershot Christmas Lights,01/03/2012,0000167709,660.00,Revenue,Chambers Southern Ltd,10517
Rushmoor Borough Council,Community,2543,Farnborough Christmas Lights,01/03/2012,0000167709,1330.00,Revenue,Chambers Southern Ltd,10517
Rushmoor Borough Council,Community,2537,Metric Licenses,01/03/2012,0000167712,1595.52,Revenue,Metric Group Ltd,04436
