Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,PACEMAKERS,CARDIOLOGY,BOSTON SCIENTIFIC LTD,7160815473,"15,120.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,PACEMAKERS,CARDIOLOGY,BOSTON SCIENTIFIC LTD,7160815473,"9,400.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,PACEMAKERS,CARDIOLOGY,BOSTON SCIENTIFIC LTD,7160815473,"5,280.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,PACEMAKERS,CARDIOLOGY,BOSTON SCIENTIFIC LTD,7160815473,"2,646.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,PACEMAKERS,CARDIOLOGY,BOSTON SCIENTIFIC LTD,7160815473,"1,645.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,PACEMAKERS,CARDIOLOGY,BOSTON SCIENTIFIC LTD,7160815473,924
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,08/10/2010,RATES,RATES,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,3100215/,"176,497.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,11843/10,"25,028.08"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,11843/10,"4,379.91"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/2208017,"32,890.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 06815/CERT 10,"47,222.40"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 06815/CERT 10,"23,153.75"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 06815/CERT 10,"4,051.91"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 06830/CERT 11,"45,517.81"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 06830/CERT 11,"22,317.97"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,INTERSERVE PROJECT SERVICES LTD,VYO 06830/CERT 11,"3,905.64"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,08/10/2010,SPECIALIST REGISTRAR,THEATRES,LEEDS TEACHING HOSPITALS NHS TRUST,339912,"25,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,15/10/2010,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,797575,"64,926.70"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,08/10/2010,DRUGS,PHARMACY,NHS BUSINESS SERVICES AUTHORITY,PHS1000025273,"34,196.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011002435,"59,479.85"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1011006254,"75,699.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,08/10/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI821696,"57,777.35"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,08/10/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI824702,"62,881.76"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,15/10/2010,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI828447,"73,895.77"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ELECTRICITY,UTILITIES,NPOWER LTD,LGUDPB2G,"39,864.27"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,ELECTRICITY,UTILITIES,NPOWER LTD,LGUDPB2G,"6,976.25"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050749788,"145,626.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050756528,"145,626.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050765695,"145,627.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050765698,"145,627.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9050765699,"145,627.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9056050823,"-153,030.11"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,29/10/2010,EXTERNAL CONTRACTS : CATERING,CATERING,SODEXO HEALTHCARE SERVICES LTD,9056050824,"-153,030.11"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,GAS,UTILITIES,TOTAL GAS AND POWER LTD,61410761/10,"26,626.41"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,22/10/2010,GAS,UTILITIES,TOTAL GAS AND POWER LTD,61410761/10,"4,659.62"
