Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,91,84.14,339,326.11,705,679.75,695,662.7,171,163.75,0,0,2001,1916.45,50,49.41,0,0,70,67.97,2,2,122,119.38,2123,2035.83,"£7,033,780","£10,226","£29,302","£24,619","£1,532,543","£675,409","£9,305,879","£298,006","£1,016,619","£1,314,626",10620504.54,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,419,392.44,334,327.91,2006,1943.88,463,452.81,130,123.74,26,21.68,3378,3262.46,4,4,0,0,4,4,1,1,9,9,3387,3271.46,"£10,912,883","£83,192",£0,"£158,191","£1,456,166","£1,007,927","£13,618,359","£87,412","£1,871","£89,283","£13,707,642",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,81,68,358,340.9,817,791.4,1336,1307.7,183,175.2,0,0,2775,2683.2,49,39,0,0,62,47.6,0,0,111,86.6,2886,2769.8,"£9,850,406","£171,058",£0,"£22,307","£1,311,451","£887,715","£12,242,937","£699,553",£0,"£699,553",12942489.44,
Health Education England,Executive Non-Departmental Public Body,Department of Health,100,92.36,608,558.9,532,490.2,416,389.6,950,344.5,0,0,2606,1875.56,132,118.67,0,0,2,0.26,0,0,134,118.93,2740,1994.49,"£6,686,876","£197,749",0,"£5,068","£809,858","£536,639","£8,236,190","£550,513",£0,"£550,513","£8,786,703",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,11,8.11,91,82.81,57,52.38,41,35.1,5,4.7,0,0,205,183.1,15,9.67,9,4.48,0,0,0,0,24,14.15,229,197.25,"£562,492",£0,£0,"£11,490","£65,646","£46,686","£686,314","£99,625","£9,225","£108,850","£795,163",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,17.01,37,35.89,8,8,3,3,0,0,67,63.9,4,4,0,0,2,2,0,0,6,6,73,69.9,"£212,103",0,0,1327,"£45,701","£19,646","£278,778","£26,550","£11,060","£37,610","£316,387",The HFEA currently has 1 vacancy. 
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.8,6,5.84,21,20.4,10,9.3,4,3.63,0,0,43,40.97,0,0,0,0,0,0,0,0,0,0,43,40.97,"£163,740",£0,£0,£0,"£18,642","£16,126","£198,507","£8,962","£7,291","£16,253","£214,760",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,81,77.38,216,207,457,445.1425397,356,344.72167,145,131.55,0,0,1255,1205.79421,34,33.1,2,2,3,3,0,0,39,38.1,1294,1243.89421,"£4,588,045","£32,632","£10,745","£22,216","£979,696","£422,124","£6,055,459","£602,495",£0,"£602,495",6657953.57,
Monitor,Executive Non-Departmental Public Body,Department of Health,26,26,47,46.8,110,109.4,323,313.71,75,72.6,0,0,581,568.51,11,11,30,29.56,12,8.25,0,0,53,48.81,634,617.32,"£3,112,434",£0,£0,£0,"£666,103","£326,512","£4,105,049","£528,011","-£97,111","£430,900","£4,535,949",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,13,12.06,85,79.17,257,240.86,221,206.72,63,55.4,0,0,639,594.21,5,3.61,0,0,21,16.52,0,0,26,20.13,665,614.34,"£2,119,321","£13,735",£0,"£3,021","£285,576","£192,387","£2,614,038","£228,439",£0,"£228,439","£2,842,477",
