Prosecutions,2005 - 06 Volume,2005 - 06 Percentage,2006 - 07 Volume,2006 - 07 Percentage,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage
Convictions,29719,59.70%,37383,65.17%,43977,68.91%,48465,72.23%,53347,71.98%,59101,71.91%,58138,73.34%,52549,74.32%
Unsuccessful,20063,40.30%,19978,34.83%,19842,31.09%,18629,27.77%,20766,28.02%,23086,28.09%,21130,26.66%,18153,25.68%
Total,49782,100.00%,57361,100.00%,63819,100.00%,67094,100.00%,74113,100.00%,82187,100.00%,79268,100.00%,70702,100.00%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
