Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Forum 28,Electricity,41899,200021984,NPower,4057.29
Barrow Borough Council,Forum catering,Catering contract - Forum,41885,200021778,Elior UK Ltd,770.25
Barrow Borough Council,Farm Street Barrow Island Recreation Area,Installation of plant and equipment,41899,200021963,Wicksteed Leisure Ltd,14871.74
Barrow Borough Council,Current assets - stocks,Stationery stock,41899,200021938,Grosvenor House Papers Ltd,4680
Barrow Borough Council,Registration of electors,Postage,41899,200021983,Democracy Counts Ltd,976.14
Barrow Borough Council,HRA Estates,Professional fees,41906,200022022,Pearson & Johnson Solicitors,3336
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,41892,200021829,Keith Wilson Elec Con Ltd,6447.08
Barrow Borough Council,Major works maintenance - HRA,Communal entrances,41906,200022015,Security Surveillance Systems Ltd,44450
Barrow Borough Council,Recycling,Greenwaste recycling,41892,200021833,Sinkfall Recycling,667.48
Barrow Borough Council,Legal,Solicitors fees,41899,200021955,Brown Barron Solicitors,921
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,41899,200021950,Rixonway Kitchens (Cum) Ltd,1112.62
Barrow Borough Council,HRA administration,Software maintenance,41899,200021904,Quince Associates Ltd,4306.74
Barrow Borough Council,Licensing,Equipment purchase,41906,200022010,VIP Systems Ltd,1785.94
Barrow Borough Council,Regeneration,Publicity,41899,200021909,Burrows Communications Ltd,1500
Barrow Borough Council,Cost of collection,Court fees,41899,200021912,HMCS,1263
Barrow Borough Council,Capitalised Planned Maintenance,Heating,41892,200021828,Plumbing Trade Supplies,2239.79
Barrow Borough Council,Major works maintenance - HRA,Adaptations,41906,200022001,AB Mitchell Developments,3348.09
Barrow Borough Council,Major works maintenance - HRA,Adaptations,41899,200021920,AB Mitchell Developments,1370.9
Barrow Borough Council,The markets,Removal of refuse,41892,200021822,FCC Recycling (UK) Ltd,6625
Barrow Borough Council,Disabled Facilities Grant,Grants,41899,200021906,Benchmark Building Serv UK Ltd,2500
Barrow Borough Council,Voids maintenance - HRA,Routine Maintenance,41906,200022001,AB Mitchell Developments,743.52
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,41899,200021951,Plumbing Trade Supplies,832.98
Barrow Borough Council,The park leisure centre,Professional fees,41892,200021840,Premier Commercial Cleaning Serv Ltd,813.55
Barrow Borough Council,Parks and open spaces,Grounds maintenance,41892,200021831,Tythe Barn Nurseries Ltd,6804
Barrow Borough Council,Forum 28,Maintenance contracts - TSU,41906,200022020,ADW Testing Ltd,1217.7
Barrow Borough Council,The park leisure centre,Equipment maintenance,41899,200021925,Correct Flow Engineering Ltd,1069
Barrow Borough Council,Cost of collection,Council tax collection,41892,200021812,Liberata Uk Ltd,67250.67
Barrow Borough Council,Allotments,Metered water,41899,200021889,United Utilities Water Plc,3108.07
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,41899,200021946,JML Hardware Ltd,700
Barrow Borough Council,Public conveniences,Building cleaning,41892,200021786,Growing Concerns,1508
Barrow Borough Council,Information technology,Data Line Rental,41906,200022044,Vodafone Ltd,7350
Barrow Borough Council,Dock museum,Building cleaning,41906,200022075,Elior UK Ltd,1103.16
Barrow Borough Council,Playground,Equipment purchase,41892,200021826,Play Safe,2653.2
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,41892,200021829,Keith Wilson Elec Con Ltd,10481
Barrow Borough Council,Phoenix Business Centre,Professional fees,41892,200021862,FC Business Services Ltd,2054.36
Barrow Borough Council,Forum 28,Maintenance contracts - TSU,41892,200021796,Integral UK Ltd,920
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,41899,200021950,Rixonway Kitchens (Cum) Ltd,2295.52
Barrow Borough Council,HRA Estates,Professional fees,41906,200022022,Pearson & Johnson Solicitors,1646
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,41906,200022027,Howdens Joinery Ltd,862.61
Barrow Borough Council,Forum 28,Publicity,41885,200021741,HSP Milners,3538
Barrow Borough Council,Human Resources,Agency staff,41892,200021877,Hays Senior Finance,1296
Barrow Borough Council,Photocopiers Holding A/C,Photocopier charges paid,41885,200021774,Ricoh UK Ltd,940.53
Barrow Borough Council,Barrow park,Grounds maintenance,41899,200021956,Greaves Tree Services Ltd,875
Barrow Borough Council,HRA Estates,Professional fees,41892,200021855,Pearson & Johnson Solicitors,1164
Barrow Borough Council,Dock museum,Professional fees,41899,200021962,Fat Media Ltd,4410
Barrow Borough Council,The park leisure centre,Electricity,41899,200021984,NPower,6147.62
Barrow Borough Council,James Freel Close Business Units,Professional fees,41892,200021851,M&P Gadsden Consulting Eng Ltd,815
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,41899,200021935,Paul Cutcliffe,650
Barrow Borough Council,Information technology,Data Line Rental,41892,200021812,Liberata Uk Ltd,784.46
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,41899,200021920,AB Mitchell Developments,5776.05
Barrow Borough Council,Public conveniences,Building cleaning,41892,200021786,Growing Concerns,3200
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,41906,200022001,AB Mitchell Developments,7482.34
Barrow Borough Council,Barrow town hall,Planned Building repairs and maintenance,41885,200021752,Bill Caulfield Electrical,11654.26
Barrow Borough Council,Street cleansing,Street cleansing,41892,200021792,Biffa Waste Services Ltd,78404.17
Barrow Borough Council,The park leisure centre,Professional fees,41899,200021885,Ulverston Health Club,2067
Barrow Borough Council,Town Hall,Professional fees,41899,200021884,Stuart Brahney Assoc,1575
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,41899,200021952,Keith Wilson Elec Con Ltd,4225.37
Barrow Borough Council,Human Resources,Agency staff,41892,200021877,Hays Senior Finance,1296
Barrow Borough Council,IR personal account,Tax deducted - CIS tax,41885,200021752,Bill Caulfield Electrical,-549.73
Barrow Borough Council,Disabled Facilities Grant,Grants,41899,200021907,Start to Finish,2640
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,41899,200021920,AB Mitchell Developments,4019.19
Barrow Borough Council,Human Resources,Subscriptions,41899,200021975,Retox Digital Ltd,1300
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,41899,200021920,AB Mitchell Developments,4348
Barrow Borough Council,Housing Benefits Admin,Professional fees,41892,200021812,Liberata Uk Ltd,650.05
Barrow Borough Council,The park leisure centre,Removal of refuse,41892,200021822,FCC Recycling (UK) Ltd,3550
Barrow Borough Council,Human Resources,Equipment purchase,41892,200021807,Centric Office Solutions,875
Barrow Borough Council,Barrow town hall,Removal of refuse,41892,200021822,FCC Recycling (UK) Ltd,1750
Barrow Borough Council,Capitalised Planned Maintenance,Heating,41899,200021951,Plumbing Trade Supplies,2326.71
Barrow Borough Council,Customer services,Customer services contract,41892,200021812,Liberata Uk Ltd,8839.22
Barrow Borough Council,Barrow town hall,Planned Building repairs and maintenance,41899,200021937,Optech Fibres,1750
