1,directgov,"117,161"
2,jobcentre plus,"84,281"
3,jobcentre,"49,172"
4,dvla,"44,827"
5,direct gov,"44,372"
6,student finance,"41,154"
7,job centre,"35,918"
8,passport renewal,"25,582"
9,www.direct.gov.uk,"18,483"
10,directgov jobs,"15,020"
11,direct.gov.uk,"14,640"
12,road tax,"14,217"
13,direct.gov,"14,030"
14,minimum wage,"14,009"
15,job centre plus,"13,734"
16,car tax,"12,132"
17,council tax,"11,865"
18,income support,"11,163"
19,theory test,"11,148"
20,job center plus,"11,088"
21,job seekers allowance,"10,376"
22,student finance england,"9,808"
23,provisional driving licence,"9,606"
24,disability living allowance,"8,953"
25,housing benefit,"8,531"
26,dvla change of address,"8,495"
27,passport fees,"8,485"
28,child tax credit,"8,390"
29,jobcentreplus,"8,204"
30,dla,"7,989"
31,ema,"7,682"
32,state pension,"7,615"
33,driving licence,"7,422"
34,highway code,"7,395"
35,car tax bands,"7,280"
36,carers allowance,"7,069"
37,swine flu,"6,928"
38,stamp duty,"6,632"
39,direct gov jobs,"6,598"
40,jobseekers allowance,"6,518"
41,uk bank holidays 2011,"6,473"
42,dsa change practical test,"6,462"
43,driving test,"6,045"
44,book driving test,"5,689"
45,national minimum wage,"5,681"
46,theory test practice,"5,586"
47,job seekers,"5,444"
48,bank holidays 2011,"5,307"
49,government,"5,281"
50,passport application,"5,181"
51,attendance allowance,"5,052"
52,dvla swansea,"5,040"
53,pension credit,"4,969"
54,statutory sick pay,"4,803"
55,dsa practical test,"4,792"
56,vehicle tax bands,"4,791"
57,dvla theory test,"4,727"
58,cold weather payments,"4,661"
59,benefits,"4,556"
60,uk bank holidays,"4,555"
61,sure start maternity grant,"4,401"
62,redundancy,"4,331"
63,dvla driving licence,"4,303"
64,dsa theory test,"4,299"
65,maternity pay,"4,296"
66,driving theory test,"4,261"
67,www.direct.gov.uk tax disc,"4,258"
68,practical driving test,"4,232"
69,sure start,"4,198"
70,sorn,"4,064"
71,employment law,"4,032"
72,mot,"3,866"
73,council tax bands,"3,861"
74,www.direct.gov.uk/passports,"3,792"
75,mot check,"3,734"
76,pension forecast,"3,719"
77,crisis loan,"3,701"
78,book theory test,"3,674"
79,jobcentre plus vacancies,"3,646"
80,www.direct.gov.uk/renewat70,"3,591"
81,jsa,"3,497"
82,bank holidays,"3,435"
83,renew passport,"3,435"
84,theory test booking,"3,434"
85,maternity allowance,"3,378"
86,road tax bands,"3,330"
87,job centre online,"3,322"
88,statutory maternity pay,"3,299"
89,incapacity benefit,"3,266"
90,cv template,"3,265"
91,jobseekers,"3,251"
92,student loans,"3,188"
93,minimum wage uk,"3,097"
94,car tax online,"3,072"
95,child tax credits,"3,011"
96,paternity leave,"2,902"
97,job seekers allowance apply online,"2,864"
98,minimum wage 2010,"2,821"
99,www.direct.gov.uk/taxdisc,"2,789"
100,gov,"2,747"
101,ssp,"2,673"
102,tax disc,"2,631"
103,community care grant,"2,603"
104,dvla driving test,"2,547"
105,lost driving licence,"2,542"
