Newcastle City Council Invoices over £500 paid in October 2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,,,,
Adult & Culture,Ad Serv-Welfare Rights-    ,Supplies & Services,18 October 2012,CHILD POVERTY ACTION GROUP,5681607,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,1568.00,,,,,,,,,,,,,,,
Adult & Culture,Ad Serv-Welfare Rights-    ,Supplies & Services,31 October 2012,CITIZENS ADVICE BUREAU,5676565,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,378.00,,,,,,,,,,,,,,,
Adult & Culture,Ad Serv-Welfare Rights-    ,Supplies & Services,26 October 2012,PURCHASE POWER,5676564,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,853.82,,,,,,,,,,,,,,,
Adult & Culture,Ad Serv-Welfare Rights-    ,Supplies & Services,19 October 2012,Redacted Personal Data,5682817,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,1810.00,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,25 October 2012,BERTRAMS BOOKS,5689908,Revenue,1MR34,Development - Adult services M,71.95,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,25 October 2012,BERTRAMS BOOKS,5689908,Revenue,1MR64,Students Training & DevelopmeM,208.58,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,08 October 2012,ICIS,5669480,Revenue,1MR34,Development - Adult services M,892.21,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,26 October 2012,INSTITUTE FOR APPLIED BEHAVIOR ANALYSIS,5681957,Revenue,1MR34,Development - Adult services M,350.00,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,26 October 2012,INSTITUTE FOR APPLIED BEHAVIOR ANALYSIS,5689907,Revenue,1MR34,Development - Adult services M,350.00,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,19 October 2012,NEWCASTLE COLLEGE,5679138,Revenue,1MR34,Development - Adult services M,1292.00,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,25 October 2012,Redacted Personal Data,5689911,Revenue,1MR64,Students Training & DevelopmeM,1165.00,,,,,,,,,,,,,,,
Adult & Culture,Adult - Learning & Development   ,Employees,23 October 2012,UNIVERSITY OF NORTHUMBRIA,5687201,Revenue,1MR34,Development - Adult services M,3800.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Premises,19 October 2012,N POWER NORTHERN LTD,5682520,Revenue,1MR22,Brian Roycroft Centre        M,412.92,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Premises,19 October 2012,N POWER NORTHERN LTD,5682713,Revenue,1MR22,Brian Roycroft Centre        M,421.15,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Supplies & Services,24 October 2012,D.T.C.,5688865,Revenue,1MP12,MESMAC                       M,600.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Supplies & Services,08 October 2012,EDUAIDS LTD,5640207,Revenue,1MP18,Shine Project (Womens HIV)   M,1164.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Supplies & Services,23 October 2012,EDUAIDS LTD,5686560,Revenue,1MP18,Shine Project (Womens HIV)   M,1164.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Supplies & Services,05 October 2012,PREMIER HEALTHCARE & HYGIENE,5664610,Revenue,1MX06,In-House Home Care           M,759.80,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Supplies & Services,12 October 2012,SPORTS AND LEISURE PUBLICATIONS LTD,5676688,Revenue,1MP11,Healthy Alliances            M,399.00,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Admin Support   ,Transport,02 October 2012,NODA TAXIS LTD,5663634,Revenue,1MG60,IND Day Care Elderly         M,278.40,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,15 October 2012,ABC,5678030,Revenue,1EA65,Skills For Jobs Project      M,505.05,,,,,,,,,,,,,,,
Adult & Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,04 October 2012,ABC,5666946,Revenue,1EA65,Skills For Jobs Project      M,505.05,,,,,,,,,,,,,,,
