Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Hospitality - UK - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",102847,5.90,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Other Travel - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",102847,29.20,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Subsistence Overseas - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",102848,314.39,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Hotel & Accommodation Overseas - Default,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",102848,316.32,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Rail Travel Overseas - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",103035,6.26,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",103035,13.47,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",103035,41.69,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Subsistence Overseas - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",103035,77.76,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/07/2015,Hotel & Accommodation Overseas - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",103035,336.96,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/07/2015,Other Travel - Default,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",103196,5.00,,,EMPLOYEE,,,Administration
