No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Exclusion FAULKNER,Stage 2 - Total,Stage 3 - Exclusion GALLAGHER & HUNTER,Stage 3 - Total,Stage 4 - Exclusion DOHERTY,Stage 4 - Total,Stage 5 - Exclusion LOWRY,Stage 5 - Total,Stage 6 - Exclusion THOMPSON,Stage 6 - Total,Stage 7 - Transfer MCCOUBREY,Stage 7 - Total,Stage 8 - Transfer HUTCHINSON,Stage 8 - Total,Stage 9 - Eclusion VERNON,Stage 9 - Total,Stage 10 - Transfer KINGSTON,Stage 10 - Total,Stage 11 - Exclusion MAWHINNEY,Stage 11 - Total,Stage 12 - Exclusion KEENAN,Stage 12 - Total,,
1,BUNTING,Jolene,TUV,Elected - Stage 12,839.00,3.00,842.00,10.00,852.00,2.00,854.00,2.00,856.00,9.00,865.00,0.63,865.63,0.88,866.51,22.36,888.87,17.01,905.88,218.01,1123.89,11.27,1135.16,,
2,DOHERTY,Tommy,Republican Network for Unity,Excluded - Stage 3,282.00,0.00,282.00,2.00,284.00,-284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
3,FAULKNER,Wille,Independent,Excluded - Stage 1,18.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
4,GALLAGHER,Sheila Mary,Alliance,Excluded - Stage 2,129.00,1.00,130.00,-130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
5,HUNTER,Stuart,NI21,Excluded - Stage 2,117.00,0.00,117.00,-117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
6,HUTCHINSON,Billy,PUP,Elected - Stage 7,1674.00,0.00,1674.00,0.00,1674.00,0.00,1674.00,0.00,1674.00,0.00,1674.00,0.00,1674.00,-30.00,1644.00,0.00,1644.00,0.00,1644.00,0.00,1644.00,0.00,1644.00,,
7,KEENAN,Colin,SDLP,Excluded - Stage 11,563.00,3.00,566.00,69.00,635.00,62.00,697.00,112.00,809.00,0.00,809.00,0.00,809.00,0.04,809.04,3.63,812.67,1.08,813.75,4.56,818.31,-818.31,0.00,,
8,KINGSTON,Brian,DUP,Elected - Stage 9,1134.00,2.00,1136.00,18.00,1154.00,0.00,1154.00,3.00,1157.00,50.00,1207.00,104.58,1311.58,2.05,1313.63,402.00,1715.63,-71.63,1644.00,0.00,1644.00,0.00,1644.00,,
9,LOWRY,John Terence,Workers Party,Excluded - Stage 4,296.00,1.00,297.00,22.00,319.00,15.00,334.00,-334.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
10,MANWARING,Bill,UUP,Excluded - Stage 12,651.00,2.00,653.00,21.00,674.00,1.00,675.00,2.00,677.00,8.00,685.00,3.78,688.78,1.07,689.85,64.84,754.69,31.05,785.74,312.96,1098.70,19.10,1117.80,,
11,MAWHINNEY,Billy,PUP,Excluded - Stage 10,607.00,3.00,610.00,11.00,621.00,0.00,621.00,4.00,625.00,4.00,629.00,2.52,631.52,11.65,643.17,70.24,713.41,21.06,734.47,-734.47,0.00,0.00,0.00,,
12,MCCONVILLE,Mary,Sinn Féin,Elected - Stage 12,1400.00,0.00,1400.00,19.00,1419.00,66.00,1485.00,48.00,1533.00,2.00,1535.00,0.00,1535.00,0.02,1535.02,1.00,1536.02,0.00,1536.02,3.02,1539.04,193.00,1732.04,,
13,MCCOUBREY,Frank,DUP,Elected - Stage 6,1557.00,0.00,1557.00,12.00,1569.00,0.00,1569.00,1.00,1570.00,199.00,1769.00,-125.00,1644.00,0.00,1644.00,0.00,1644.00,0.00,1644.00,0.00,1644.00,0.00,1644.00,,
14,MCVEIGH,Jim,Sinn Féin,Elected - Stage 12,1357.00,0.00,1357.00,5.00,1362.00,36.00,1398.00,12.00,1410.00,1.00,1411.00,0.00,1411.00,0.01,1411.01,1.00,1412.01,0.27,1412.28,1.04,1413.32,134.01,1547.33,,
15,THOMPSON,Naomi,DUP,Excluded - Stage 5,365.00,1.00,366.00,2.00,368.00,0.00,368.00,1.00,369.00,-369.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
16,VERNER,Nicola,DUP,Excluded - Stage 12,516.00,0.00,516.00,3.00,519.00,0.00,519.00,2.00,521.00,88.00,609.00,12.60,621.60,0.66,622.26,-622.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Non-transferable ,,,,,,2.00,2.00,53.00,55.00,102.00,157.00,147.00,304.00,8.00,312.00,0.89,312.89,13.62,326.51,57.19,383.70,1.16,384.86,194.88,579.74,460.93,1040.67,,
TOTALS ,,,,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,11505.00,,
