A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 11/5/2014 3:57:18 PM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5518040,"(27,760.84)",,HT000012455,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5518041,"55,906.54",,HT000012456,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,5518041,"2,366.70",,HT000012456,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,5468728,"41,295.59",,8404825,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,5468733,"33,874.00",,8405036,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,5418921,"260,811.00",,I0067950,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,5248147,"214,025.20",,202271,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,5468915,"254,288.50",,204499,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5247815,"44,213.00",,62286,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5247783,"45,140.43",,61610,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5306200,"45,989.00",,61454,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5247822,"58,453.00",,62804,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5306327,"59,462.00",,67685,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5247796,"59,701.35",,61611,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5247802,"59,701.35",,61612,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,5306324,"25,343.00",,I0137177,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,BIRCHWOOD SURGERY,5508473,201.08,,HT000012111,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,BIRCHWOOD SURGERY,5508473,"24,920.00",,HT000012111,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5393545,"86,542.11",,32792,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,5393587,"110,753.59",,32783,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,5338001,"522,706.67",,14824,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,5469091,"213,358.74",,14838,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5518047,"(39,143.85)",,HT000012462,
Department of Health,NHS East & North Hertfordshire CCG,31/10/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,5518048,"71,782.68",,HT000012463,
