DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceLineDescription,SupplierPostCode,TransactionType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702691,272020.83,CORE SERVICE CHARGE MARCH 2017,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-25,EXP - PURCHASE OF GOODS/SERV-ICT OUTSOURC&MAINT/SUPP- IT SUPPORT SERVICES,IT Service Delivery,CAPITA SECURE INFORMATION SOLUTIONS LTD,1011702882,272020.83,CORE SERVICE CHARGES,SN14 0TW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011702677,191025,PART NUMBER 80VV003UUK,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Strategy,COMPUTACENTER UK LTD,1011702789,186667.5,LENOVO,AL10 9TW,Capital
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700187,177518,DEFAULT RETENTION PAYMENT,KT15 3NB,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-20,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,Finance Director & Branch,LONDON PENSIONS FUND AUTHORITY,1011702843,118816,APR17 FUND,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-05,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Food Production Branch,ANIMAL AND PLANT HEALTH AGENCY,2012700187,87918.5,DEFAULT RETENTION PAYMENT,KT15 3NB,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Regulatory Delivery,WILLIAMS LEA TAG,1011702755,67527.48,Re-print of FHRS Window  Wall Stickers,EC1M 4NA,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,EU Regulatory Reform Branch,UNIVERSITY OF LINCOLN,1011702796,62637.96,FS 514103 MSM D05 RETENTION PAYMENT,LN6 7TS,Programme
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-04-24,EXP - AMORTISATION - INTANGIBLE ASSETS,IT Information & Knowledge Management,EPIMORPHICS LTD,1011702865,61057.05,LINK DATA REGISTRIES,BS20 6PT,Capital
