Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,East of England SHA,01/04/2010,Advertising,Healthcare Acquired Infections (HCAI) Campaign,GLOBAL RADIO SERVICES LTD,5927896,26938.23,491690713
Department of Health,East of England SHA,21/04/2010,"Books, Journals & Subscr",Patient Safety - Strategic Workforce Investment (SWIFT),INTENSIVE CARE NATIONAL AUDIT&RESEARCH CENTRE (ICNARC),6094797,64331.25,646249225
Department of Health,East of England SHA,28/04/2010,Computer Software/License,Workforce Running Costs,ZIRCADIAN LTD,6234470,39976.32,769336976
Department of Health,East of England SHA,28/04/2010,Conferences and Seminars,Maternity & Newborn Workforce Projects,OVE ARUP&PARTNERS LTD,6084659,54050,524461265
Department of Health,East of England SHA,07/04/2010,Contr Estate Management,Workforce Running Costs,MJ MAPP LLP,6125386,29303.86,243852262
Department of Health,East of England SHA,12/04/2010,Contr Estate Management,Victoria House,MJ MAPP LLP,6146994,35705.52,243852262
Department of Health,East of England SHA,08/04/2010,External Consultancy Fees,Education & Training,KPMG LLP,6073080,57714,791788859
Department of Health,East of England SHA,01/04/2010,External Consultancy Fees,End of Life - Research,MARKET&OPINION RESEARCH INTERNATIONAL,6012358,82132.5,443932151
Department of Health,East of England SHA,16/04/2010,External Consultancy Fees,Fast Follower Support,CLOUD2 LTD,6161716,34662.5,NULL
Department of Health,East of England SHA,07/04/2010,External Consultancy Fees,NHS Direct: Core Contract,DELOITTE MCS LTD,5873492,46271.54,809707706
Department of Health,East of England SHA,28/04/2010,External Consultancy Fees,NHS Direct: Core Contract,DELOITTE MCS LTD,6221292,27773.56,809707706
Department of Health,East of England SHA,01/04/2010,External Consultancy Fees,Performance Management,DELOITTE MCS LTD,5943063,34864,809707706
Department of Health,East of England SHA,07/04/2010,External Consultancy Fees,QIPP - Workforce,MCKINSEY & COMPANY,6115005,192592.13,239157155
Department of Health,East of England SHA,07/04/2010,External Consultancy Fees,QIPP - Workforce,MCKINSEY & COMPANY,6115013,250000,239157155
Department of Health,East of England SHA,30/04/2010,External Consultancy Fees,QIPP - Workforce,MCKINSEY & COMPANY,6268682,250000,239157155
Department of Health,East of England SHA,01/04/2010,External Consultancy Fees,QIPP Programme,MCKINSEY & COMPANY,6073053,356800,239157155
Department of Health,East of England SHA,21/04/2010,External Consultancy Fees,Research Strategy,OPEN UNIVERSITY (THE),6177486,50000,650748918
Department of Health,East of England SHA,28/04/2010,External Consultancy Fees,Retention & Leadership,OVE ARUP&PARTNERS LTD,6221296,84600,524461265
Department of Health,East of England SHA,23/04/2010,External Consultancy Fees,Strategic Health Authority & Policy,DETICA LTD,6131547,75000,641407169
Department of Health,East of England SHA,23/04/2010,External Consultancy Fees,Supporting Self Care in GP Programme,LEEDS METROPOLITAN UNIVERSITY,6073341,28000,545372831
