Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520440,"15,826.05",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530220,"7,630.24",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001537837,"9,035.90",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520440,"79,617.35",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"6,743.24",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"6,288.30",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520442,"15,990.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530220,"82,292.97",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"5,344.40",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"6,399.48",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"30,750.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001537837,"82,290.21",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520440,"24,688.91",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530220,"17,667.84",
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001537837,"13,566.12",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520442,"9,983.95",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"1,317.71",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,210.30,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520442,"1,173.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"4,794.00",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,146.88,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,349.40,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520442,"15,112.45",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"8,863.34",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"10,846.56",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520442,"9,664.95",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"6,302.77",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Laboratory Consumables,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"1,710.92",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"1,930.88",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Laboratory Consumables,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"1,381.98",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530236,"4,049.30",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"1,553.02",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001530237,"1,524.25",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520436,"171,306.96",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,"11,418.78",
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2015,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001520441,693.09,
