"Publication of Spend over £25,000.00 between 01/06/2012 and 30/06/2012",,,,,,,

Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Trans No,Amount
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,Alcohol Abuse - WCC,Aquarius,2560,"40,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,Mental Health Pool,Wolverhampton City Council,2784,"1,309,201.70"
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,LD Pooled Budget,Wolverhampton City Council,2808,"67,028.20"
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,Ind Cases - Complex Children,Wolverhampton City Council,2825,"88,416.70"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,Admin & Clerical Seconded,Chief Executive,5Pf P : Sandwell Pct,10189100,"190,589.00"
Wolverhampton City PCT,Wolverhampton City PCT,14/06/2012,NSL Patient Transport,RWHT Block Contracts,Patient First (Shropshire) Ltd,10190001,"89,400.50"
Wolverhampton City PCT,Wolverhampton City PCT,14/06/2012,NSL Patient Transport,RWHT Block Contracts,Patient First (Shropshire) Ltd,10190001,"39,719.40"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Replacement of Ventilation Pla,Capital EOS,Tdr (Mechanical Services) Ltd,10190004,"40,928.40"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Replacement of Ventilation Pla,Capital EOS,Tdr (Mechanical Services) Ltd,10190004,"6,498.82"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Oil Tank replacements,Capital EOS,Norland Managed Services Ltd,10190261,"58,285.43"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Oil Tank replacements,Capital EOS,Norland Managed Services Ltd,10190265,"61,520.92"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,Purchase of Healthcare - NHS,Community Services @ RWHT,Rl4 T : Royal Wolverhampton Hospita,10190585,"64,500.00"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,RTH T - Oxford Radcliffe Hospi,OATS,Rth T : Oxford University Hospitals Nhs,10191287,"25,409.00"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Non NHS Statutory Sector,Healthcare Grants,Wolverhampton City Council,10191500,"57,820.00"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,RRV FT - University College Lo,OATS,Rrv- University College London Hospitals,10191637,"53,182.00"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,Purchase of Healthcare - NHS,Community Services @ RWHT,Rl4 T : Royal Wolverhampton Hospita,10192204,"30,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,Reserve,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10192558,"40,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,Nurse Seconded,Service Improvement Allocation,Rre Ft : South Staffordshire & Shro,10192835,"39,738.00"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,RTH T - Oxford Radcliffe Hospi,OATS,Rth T : Oxford University Hospitals Nhs,10192855,"30,133.00"
Wolverhampton City PCT,Wolverhampton City PCT,26/06/2012,BSOL - Regional Levies,Healthcare Block Contracts,5Mx P : Heart Of Birmingham Teachin,10193038,"45,075.00"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,Provisions for Liabs & Charges,Purchaser - SOFP,N H S P A - Pension Scheme,10193183,"11,320.17"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,Redundancy Payments,Chief Executive,N H S P A - Pension Scheme,10193183,"10,760.39"
Wolverhampton City PCT,Wolverhampton City PCT,12/06/2012,LT Payable (WHA b/f),Purchaser - SOFP,N H S P A - Pension Scheme,10193183,"6,828.86"
Wolverhampton City PCT,Wolverhampton City PCT,14/06/2012,Nuffield,Healthcare Block Contracts,Wolverhampton Nuffield Hospital,10193199,"129,705.00"
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,LD Pooled Budget,Wolverhampton City Council,10193224,"134,056.00"
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,Mental Health Pool,Wolverhampton City Council,10193226,"2,618,403.00"
Wolverhampton City PCT,Wolverhampton City PCT,11/06/2012,Purchase of Healthcare - Non,Ind Cases - Complex Children,Wolverhampton City Council,10193229,"194,511.00"
Wolverhampton City PCT,Wolverhampton City PCT,14/06/2012,Out of Hours Service Commissio,GMS & PMS - Out of Hours,Primecare,10193261,"180,745.33"
Wolverhampton City PCT,Wolverhampton City PCT,28/06/2012,Non NHS Statutory Sector,IVF,St Jude'S Hospital,10193292,"35,440.00"
Wolverhampton City PCT,Wolverhampton City PCT,14/06/2012,WP Window Replacement,Capital Spend  - Estates (SC),Sedgley Glass & Windows,10193494,"37,200.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,Tier 1 LSCG,Healthcare Block Contracts,Rya T : West Midlands Ambulance Ser,10193509,"4,298,188.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RYK T - Dudley & Walsall MH,Healthcare Block Contracts,Ryk T : Dudley & Walsall Mental Hea,10193511,"40,917.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RL1 FT - Robert Jones Purchase,Healthcare - Foundation,Rl1 T : Robert Jones & Agnes Hunt O,10193520,"29,595.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RQ3 FT - B'ham Childrens Purch,Healthcare - Foundation,Rq3 Ft : Birmingham Children'S Hosp,10193521,"110,727.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RNA FT - Dudley Group Purchase,Healthcare - Foundation,Rna Ft : The Dudley Group Of Hospit,10193523,"268,523.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RRA FT - Heart of England Purc,Healthcare - Foundation,Rr1 Ft : Heart Of England Nhs Found,10193524,"61,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RJD FT - Mid Staffs Purchase o,Healthcare - Foundation,Rjd Ft : Mid Staffordshire Nhs Foun,10193525,"28,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,07/06/2012,RJE T - North Staffs Purchase,Healthcare Block Contracts,Rje T : University Hospital Of Nort,10193526,"36,167.00"
