Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Business, Innovation and Skills (Core)",Ministerial Department,"Department for Business, Innovation and Skills",3,3,314,303.6,933,909.2,983,942.5,192,183.3,0,0,"2,425","2,342",15,15,3,3,33,33,11,11,62,62,"2,487","2,404","£8,901,303.50","£355,439.38","£14,500.00","£42,748.01","£1,966,836.87","£839,356.76","£12,120,184.52","£254,183.00","£435,525.00","£689,708.00","£12,809,892.52",,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",40,38.7,84,83.1,257,253.4,182,180.3,23,21.8,0,0,586,577,17,17,1,1,78,78,10,10,106,106,692,683,"£1,717,860.00","£31,378.64","£5,450.00","£6,570.45","£370,017.09","£156,703.08","£2,287,979.26","£440,839.00","£10,446.00","£451,285.00","£2,739,264.26",,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",51,44.7,286,263,484,443.3,40,37.7,2,2,2,1.2,865,792,18,18,0,0,,,4,4,22,22,887,814,"£2,139,906.11","£17,967.59",,"£11,581.73","£436,712.59","£160,879.93","£2,767,047.95","£32,832.50","£39,963.63","£72,796.13","£2,839,844.08",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",5,4.68,33,31.53,55,52.84,11,10.87,4,3.5,,,108,103,,,,,3,2.5,,,3,2.5,111,106,"£284,492.93","£3,668.00","£18,950.00",,"£7,118.29","£22,969.79","£337,199.01","£20,455.02",,"£20,455.02","£357,654.03",,
Biotechnology and Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",37,32.56,50,47.76,152,145.03,45,43.62,11,10.38,,,295,279,2,2,,,,,,,2,2,297,281,"£813,150.75","£24,942.14","£16,336.00","£1,271.14","£205,603.39","£64,261.09","£1,125,564.51","£2,659.17",,"£2,659.17","£1,128,223.68",,First month listing Swindon Office staff only as advised by previous email notification
Companies House,Executive Agency,"Department for Business, Innovation and Skills",453,397,256,243,134,130,35,34,5,5,,,883,809,3,3,,,,,18,18,21,21,904,830,"£1,793,345.93","£28,204.00","£165,921.15","£73,282.16","£378,275.98","£151,316.32","£2,590,345.54","£19,128.29","£184,058.79","£203,187.08","£2,793,532.62",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",454,424.74,644,628.79,333,327.36,22,22,5,5,0,0,"1,458","1,408",69,63.56,1,0.53,56,48.57,7,1.91,133,114.57,"1,591","1,522","£3,562,772.73","£184,807.94",£0.00,"£44,525.03","£309,280.41","£462,351.00","£4,563,737.11","£523,177.66","£30,320.99","£553,498.65","£5,117,235.76",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",4,4,1,1,6,5.6,3,3,1,1,,,15,15,,,,,,,,,0,0,15,15,"£49,057.00",,"£2,250.00",,"£10,566.45","£4,609.18","£66,482.63",,,£0.00,"£66,482.63",,
