Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Drugs,HEALTHCARE AT HOME,BUPA HOME HEALTHCARE LTD,13048587,"50,106.27",,
Department of Health,Central And Eastern Cheshire PCT,12/05/2011,Various GP Expenditure,CEDARS MEDICAL CENTRE,CEDARS MEDICAL CENTRE,12960633,"30,106.31",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,CEDARS MEDICAL CENTRE,CEDARS MEDICAL CENTRE,13054779,"45,920.76",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,EARNSWOOD MEDICAL CENTRE ,DR AL RAEBURN & PARTNERS,13054830,"66,008.04",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,HIGH STREET SURG,MACC PPP,13054819,"28,864.19",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,MEREPARK MEDICAL CENTRE ,MEREPARK MEDICAL CENTRE,13054774,"43,419.24",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,NANTWICH HEALTH CENTRE,CHURCH VIEW PRIMARY CARE CENTRE,13054837,"32,872.98",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,OAKWOOD MEDICAL CENTRE,OAKWOOD MEDICAL CENTRE,13054783,"40,836.74",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,SWANLOW MEDICAL CENTRE,SWANLOW MEDICAL CENTRE,13054816,"44,637.60",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,THE HC DELAMERE,DELAMERE PRACTICE,13054803,"55,966.47",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,TUDOR SURGERY,CHURCH VIEW PRIMARY CARE CENTRE,13054837,"26,909.44",,
Department of Health,Central And Eastern Cheshire PCT,31/05/2011,Various GP Expenditure,WEAVER VALE SURGERY,WEAVER VALE SURGERY,13054787,"28,057.67",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,CONTRACT EXCLUSIONS,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,12848258,"-34,851.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,CONTRACT EXCLUSIONS,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,12960622,"34,851.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,EAST CHES PCT PROVIDER,EAST CHESHIRE NHS TRUST,12961311,"4,043,750.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,EAST CHESHIRE NHS TRUST,EAST CHESHIRE NHS TRUST,12848244,"-56,373.84",,
Department of Health,Central And Eastern Cheshire PCT,05/05/2011,Hcare Srv Rec NHS Trust,EAST CHESHIRE NHS TRUST,EAST CHESHIRE NHS TRUST,12922450,"4,041,583.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,EAST CHESHIRE NHS TRUST,EAST CHESHIRE NHS TRUST,12961310,"6,825,384.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,PENNINE ACUTE,PENNINE ACUTE HOSPITALS NHS TRUST,12961309,"71,053.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,R L'POOL UNIVERSITY HOSP,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,12848234,"-58,747.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,R L'POOL UNIVERSITY HOSP,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,12961306,"152,666.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,ROBERT JONES & AGNES HUNT,ROBERT JONES & AGNES HUNT ORTHOPAEDIC & DISTRICT HOSPITAL NHS TRUST,12960631,"33,062.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,ROBERT JONES & AGNES HUNT,ROBERT JONES & AGNES HUNT ORTHOPAEDIC & DISTRICT HOSPITAL NHS TRUST,12961312,"231,202.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,ST HELENS & KNOWSLEY,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,12960684,"29,073.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,TRAFFORD HOSPITAL,TRAFFORD HEALTHCARE NHS TRUST,12960811,"29,568.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,UNIV HOSP NTH STAFFS,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,12960630,"-326,455.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,UNIV HOSP NTH STAFFS,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,12961313,"406,881.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,UNIV HOSP NTH STAFFS,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,12961336,"607,096.00",,
Department of Health,Central And Eastern Cheshire PCT,03/05/2011,Healthcare Srv Rec PCTs,Health Improvement Grp 2,BURY PCT,12881437,"26,798.00",,
Department of Health,Central And Eastern Cheshire PCT,13/05/2011,Healthcare Srv Rec PCTs,North West Ambulance Service,BLACKPOOL PCT,12961314,"911,784.00",,
