Department Family,Entity,Voucher Date,Expense Type,Expense Area,Supplier,Transaction Number,Tax Code,Amount,Vat Registration Number
NHS,NHS Hertfordshire,10/10/2011,Pest Control,Facilities Management,WHITEOAKS,10067608,R,£12.49,466 4777 01
NHS,NHS Hertfordshire,10/10/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10067608,R,£20.62,466 4777 01
NHS,NHS Hertfordshire,10/10/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10067608,R,£293.02,466 4777 01
NHS,NHS Hertfordshire,10/10/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10067608,R,£331.50,466 4777 01
NHS,NHS Hertfordshire,10/10/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10067608,R,£331.50,466 4777 01
NHS,NHS Hertfordshire,10/10/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10067608,R,£331.51,466 4777 01
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£338.00,
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£404.00,
NHS,NHS Hertfordshire,11/10/2011,CATS - Ophthalmology Watford,Primary Care Clinical Services (CATS),THE PRACTICE SERVICES LTD,10067865,0,£412.80,927298975
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£430.00,
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£476.00,
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£522.00,
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£549.00,
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£574.00,
NHS,NHS Hertfordshire,16/09/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10064856,0,£585.00,
