,Number of farms in sample,Average total area of farm (ha),tenanted area %,owner occupied area %,Woodland buildings etc.,Utilised agricultural area (uaa),Net land hired in for less than 1 year,Total tillage,Temporary grass,Permanent grass,Rough grazing (sole occupation),CROPPING (hectares per farm) Winter wheat ,CROPPING (hectares per farm) Winter barley ,CROPPING (hectares per farm) Spring barley ,CROPPING (hectares per farm) Other cereals,CROPPING (hectares per farm) Oilseed rape ,CROPPING (hectares per farm) Peas & beans (dry/stockfeed),CROPPING (hectares per farm) Potatoes ,CROPPING (hectares per farm) Sugar beet ,CROPPING (hectares per farm) Other crops incl. horticultural crops,CROPPING (hectares per farm) Fallow & arable fodder crops,CROPPING (hectares per farm) Total set-aside area,STOCKING (head per farm) Dairy cows & heifers in milk,STOCKING (head per farm) Beef cows,STOCKING (head per farm) Other cattle,STOCKING (head per farm) Ewes,STOCKING (head per farm) Other sheep ,STOCKING (head per farm) Breeding sows,STOCKING (head per farm) Other pigs,STOCKING (head per farm) Hens & pullets in lay,STOCKING (head per farm) Other poultry,STOCKING (head per farm) Other livestock,STOCKING (head per farm) Total livestock units,LABOUR Farmer & spouse,LABOUR Wholly or mainly unpaid labour,LABOUR Regular hired labour & manager,LABOUR Casual & seasonal
Part-Time 2012/13,17,57.9,22.5,77.5,4.2,53.6,-0.9,0.2,7.4,37.5,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,14.2,43.0,33.2,34.5,0.0,0.0,0.0,0.0,0.4,39.3,0.9,0.0,0.0,0.0
Part-Time 2013/14,18,58.0,25.9,74.1,3.7,54.2,-2.2,0.2,4.7,40.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,11.9,36.9,76.2,67.3,0.0,0.0,0.0,0.0,0.3,38.2,0.9,0.1,0.0,0.0
Small 2012/13,76,123.1,49.8,50.2,2.9,120.2,-1.3,0.8,2.1,64.7,51.2,0.1,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,21.3,39.4,239.0,222.2,0.0,0.2,0.0,1.7,0.6,61.6,1.0,0.1,0.1,0.1
Small 2013/14,71,114.5,46.7,53.3,2.4,112.1,-1.1,0.7,2.6,65.6,42.1,0.1,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,19.9,41.1,248.4,218.3,0.0,0.2,0.0,1.3,0.3,61.9,1.0,0.1,0.1,0.1
Medium 2012/13,55,156.0,54.6,45.4,4.4,151.6,6.6,2.0,5.7,97.3,53.2,0.2,0.1,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,27.3,57.3,428.9,396.3,0.0,0.0,0.8,0.0,0.4,94.2,1.2,0.2,0.1,0.1
Medium 2013/14,60,184.5,55.0,45.0,4.9,179.6,4.5,2.7,5.7,91.8,83.9,0.2,0.1,1.2,0.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,27.8,53.3,458.2,380.8,0.0,0.0,1.0,0.1,0.2,93.8,1.2,0.2,0.2,0.1
Large 2012/13,103,265.4,59.8,40.2,5.1,260.4,20.6,6.3,15.6,165.9,93.2,1.9,1.4,1.0,0.9,0.1,0.0,0.0,0.0,0.0,1.2,0.0,5.5,54.4,113.9,810.0,819.0,0.1,0.4,0.8,0.6,2.7,189.0,1.3,0.6,0.4,0.2
Large 2013/14,94,286.7,63.2,36.8,5.9,280.8,17.3,6.8,12.4,170.5,108.4,1.1,0.7,2.3,1.0,0.0,0.1,0.0,0.0,0.0,1.5,0.0,3.7,53.6,107.2,852.3,827.3,0.0,0.5,0.9,0.1,3.7,186.3,1.3,0.6,0.4,0.3
All Sizes 2012/13,251,147.1,52.5,47.5,3.9,143.2,4.9,2.1,6.7,87.1,52.2,0.5,0.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.3,28.2,59.5,355.7,345.7,0.0,0.2,0.3,0.8,1.0,90.8,1.1,0.2,0.1,0.1
All Sizes 2013/14,243,147.2,52.9,47.1,3.8,143.4,3.2,2.1,5.5,84.9,54.1,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7,26.1,55.2,363.2,331.1,0.0,0.2,0.3,0.6,0.9,86.4,1.1,0.2,0.1,0.1
Totals and percentages may differ due to rounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where a cell is blank this indicates there are too few observations in the sample to give reliable estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
