#,Search Term,Visits from this term
1,directgov,"72,085"
2,www.direct.gov.uk/taxdisc,"65,393"
3,job centre,"47,900"
4,dvla car tax,"24,604"
5,car tax,"24,178"
6,direct gov,"22,453"
7,directgov jobs,"17,524"
8,jobcentre,"17,135"
9,jobcentre plus,"15,317"
10,new years honours list 2012,"14,739"
11,job centre plus,"14,637"
12,bank holidays 2011,"13,405"
13,dvla,"12,547"
14,direct.gov.uk/taxdisc,"12,117"
15,bank holidays 2012,"11,794"
16,passport renewal,"11,153"
17,uk bank holidays 2012,"11,132"
18,new years honours list,"10,948"
19,car tax online,"10,883"
20,tax disc,"9,059"
21,road tax,"8,499"
22,jobcentreplus,"7,981"
23,dvla tax,"7,925"
24,direct.gov.uk,"7,640"
25,bank holidays 2012 uk,"6,910"
26,provisional license,"6,900"
27,passport,"6,798"
28,www.direct.gov.uk,"6,549"
29,theory test,"6,538"
30,direct.gov,"6,419"
31,new years honours,"6,281"
32,benefits cheats,"5,986"
33,housing benefit,"5,556"
34,minimum wage,"5,326"
35,council tax,"5,095"
36,road tax online,"4,948"
37,job seekers allowance,"4,836"
38,uk bank holidays 2011,"4,788"
39,sorn,"4,667"
40,uk bank holidays,"4,658"
41,income support,"4,609"
42,car tax bands,"4,495"
43,new year honours list 2012,"4,282"
44,2012 bank holidays,"4,024"
45,council tax bands,"3,934"
46,disability living allowance,"3,881"
47,driving theory test,"3,743"
48,student finance,"3,662"
49,carers allowance,"3,629"
50,bank holidays,"3,563"
51,csa,"3,481"
52,jobseekers,"3,472"
53,dvla sorn,"3,276"
54,mot check,"3,273"
55,dvla road tax,"3,175"
56,tax disc online,"3,170"
57,government,"3,166"
58,dla,"3,157"
59,passport fees,"3,136"
60,theory test online,"3,069"
61,vehicle tax bands,"2,998"
62,www.direct.gov.uk taxdisc,"2,967"
63,working tax credit,"2,940"
64,attendance allowance,"2,920"
65,stamp duty,"2,889"
66,directgov taxdisc,"2,861"
67,job centre online,"2,843"
68,book driving test,"2,839"
69,driving test,"2,755"
70,job center,"2,743"
71,book theory test,"2,743"
72,direct gov jobs,"2,685"
73,state pension,"2,667"
74,diamond jubilee,"2,636"
75,jobseekers allowance,"2,620"
76,dvla theory test,"2,620"
77,dsa theory test,"2,553"
78,highway code,"2,488"
79,honours list,"2,468"
80,queens jubilee,"2,431"
81,national minimum wage,"2,339"
82,directgov.co.uk,"2,337"
83,dsa practical test,"2,328"
84,driving licence,"2,320"
85,child support agency,"2,316"
86,job seekers,"2,314"
87,dsa,"2,309"
88,passport application,"2,239"
89,probate,"2,222"
90,blue badge scheme,"2,196"
91,www.direct.gov.uk/renewat70,"2,162"
92,road tax bands,"2,109"
93,queens diamond jubilee,"2,098"
94,uk public holidays 2012,"2,042"
95,renew passport,"2,015"
96,maternity allowance,"1,978"
97,www.jobcentreplus.gov.uk,"1,965"
98,theory test booking,"1,957"
99,pension credit,"1,951"
100,practical driving test,"1,949"
101,taxdisc,"1,939"
102,bank holidays uk,"1,902"
103,dvla tax disc,"1,875"
104,www.direct.gov.uk/makeasorn,"1,870"
