#,Phrase,Number of Searches,Other pages,NoResult pages,Results pages,Specific-product pages
1,jobs,"12,404",0,0,0.97,0.00
2,income support,"2,699",0,0,0.98,0.02
3,[None],"2,468",0,-1,0.19,0.01
4,student finance,"2,387",0,0,0.97,0.00
5,child benefit,"1,451",0,0,0.97,0.00
6,job search,"1,321",0,0,0.97,0.01
7,minimum wage,"1,267",0,0,0.97,0.01
8,dvla,"1,265",0,0,0.98,0.01
9,dla,"1,207",0,0,0.98,0.01
10,theory test,"1,203",0,0,0.98,0.00
11,housing benefit,"1,195",0,0,0.98,0.01
12,job,"1,160",0,0,0.98,0.00
13,attendance allowance,"1,121",0,0,0.98,0.02
14,redundancy,"1,086",0,0,0.98,0.01
15,carers allowance,"1,029",0,0,0.97,0.01
16,job seekers allowance,"1,012",0,0,0.98,0.02
17,passport,"1,000",0,0,0.97,0.01
18,tax credits,932,0,0,0.98,0.01
19,sorn,900,0,0,0.98,0.01
20,driving test,893,0,0,0.98,0.01
21,car tax,893,0,0,0.98,0.01
22,working tax credit,891,0,0,0.99,0.00
23,crisis loan,864,0,0,0.98,0.02
24,benefits,859,0,0,0.97,0.01
25,esa,834,0,0,0.96,0.01
26,maternity,829,0,0,0.97,0.01
27,ema,823,0,0,0.96,0.01
28,jobseekers allowance,797,0,0,0.96,0.03
29,national insurance,796,0,0,0.98,0.01
30,v62,773,0,0,0.98,0.01
31,jsa,756,0,0,0.98,0.01
32,pension credit,720,0,0,0.97,0.01
33,change of address,709,0,0,0.97,0.02
34,budgeting loan,697,0,0,0.97,0.02
35,cv,689,0,0,0.97,0.02
36,tax disc,655,0,0,0.98,0.00
37,working tax credits,652,0,0,0.97,0.01
38,incapacity benefit,629,0,0,0.98,0.01
39,child tax credit,604,0,0,0.97,0.00
40,council tax,603,0,0,0.97,0.01
41,grants,595,0,0,0.99,0.01
42,community care grant,525,0,0,0.98,0.01
43,maternity leave,512,0,0,0.98,0.01
44,maternity pay,511,0,0,0.98,0.01
45,social fund,504,0,0,0.98,0.01
46,ssp,501,0,0,0.98,0.02
47,disability living allowance,495,0,0,0.99,0.00
48,passports,495,0,0,0.96,0.01
49,jobseekers,484,0,0,0.97,0.02
50,pension forecast,483,0,0,0.97,0.02
51,forms,471,0,0,0.99,0.01
52,tax,469,0,0,0.96,0.01
53,maternity allowance,464,0,0,0.98,0.01
54,student loan,453,0,0,0.97,0.00
55,sick pay,447,0,0,0.98,0.01
56,job seekers,445,0,0,0.98,0.00
57,loans,439,0,0,0.98,0.01
58,driving licence,436,0,0,0.98,0.01
59,road tax,425,0,0,0.98,0.01
60,job vacancies,423,0,0,0.97,0.02
61,national insurance number,423,0,0,0.99,0.01
62,child tax credits,422,0,0,0.97,0.00
63,pn1,403,0,0,0.98,0.01
64,job centre,398,0,0,0.97,0.00
65,v317,389,0,0,0.98,0.02
66,mot,386,0,0,0.97,0.02
67,self employed,381,0,0,0.98,0.01
68,practical test,371,0,0,0.97,0.00
69,pensions,363,0,0,0.98,0.01
70,childcare,355,0,0,0.98,0.01
71,vacancies,339,0,0,0.97,0.01
72,pff2,335,0,0,0.97,0.02
73,pff1,332,0,0,0.97,0.02
74,holiday entitlement,332,0,0,0.97,0.01
75,change address,324,0,0,0.97,0.01
76,self employment,323,0,0,0.98,0.00
77,dsa,318,0,0,0.99,0.00
78,d1,317,0,0,0.96,0.02
79,employment and support allowance,312,0,0,0.99,0.01
80,national minimum wage,309,0,0,0.97,0.01
81,job centre plus,307,0,0,0.98,0.00
82,smp,306,0,0,0.97,0.02
83,maternity grant,303,0,0,0.97,0.02
84,divorce,300,0,0,0.99,0.00
85,paternity leave,297,0,0,0.96,0.01
86,pension,283,0,0,0.98,0.00
87,p46,283,0,0,0.98,0.01
88,state pension,274,0,0,0.97,0.01
89,crisis loans,272,0,0,0.97,0.02
90,ptg1,268,0,0,0.98,0.01
91,student loans,267,0,0,0.97,0.01
92,budgeting loans,265,0,0,0.98,0.01
93,test routes,265,0,0,0.97,0.00
94,tax credit,260,0,0,0.98,0.01
95,provisional,257,0,0,0.96,0.01
96,application form,256,0,0,0.98,0.01
97,driving,255,0,0,0.98,0.00
98,d798,255,0,0,0.97,0.03
99,sure start maternity grant,249,0,0,0.96,0.03
100,winter fuel allowance,248,0,0,0.97,0.02
101,contact,247,0,0,0.98,0.00
102,carers credit,247,0,0,0.98,0.01
103,v10,245,0,0,0.96,0.03
104,apprenticeships,238,0,0,0.96,0.02
105,v14,236,0,0,0.96,0.04
106,holiday pay,236,0,0,0.98,0.00
107,theory,235,0,0,0.99,0.00
108,jobsearch,232,0,0,0.99,0.00
109,jobcentre plus,232,0,0,0.96,0.01
110,provisional licence,232,0,0,0.97,0.01
111,disability,227,0,0,0.97,0.01
112,housing,227,0,0,0.98,0.01
113,maintenance grant,227,0,0,0.97,0.02
114,statutory sick pay,225,0,0,0.97,0.01
115,contact number,225,0,0,0.97,0.00
116,v5c,225,0,0,0.99,0.01
117,blue badge,224,0,0,0.99,0.00
118,loan,224,0,0,0.97,0.01
119,log in,221,0,0,0.96,0.00
120,address,221,0,0,0.99,0.00
121,pn1 form,219,0,0,0.97,0.01
122,death,218,0,0,0.97,0.00
123,alg,215,0,0,0.97,0.00
124,employment support allowance,215,0,0,0.96,0.03
125,grant,215,0,0,0.98,0.01
126,carers,213,0,0,0.98,0.00
127,health and safety,210,0,0,0.97,0.00
128,state pension age,206,0,0,0.97,0.02
129,jobcentre,205,0,0,0.98,0.00
130,phone number,205,0,0,0.98,0.00
131,pregnancy,205,0,0,0.96,0.01
132,pr1,204,0,0,0.96,0.01
133,vic,204,0,0,0.96,0.01
134,change of circumstances,200,0,0,0.99,0.01
135,book theory test,199,0,0,0.98,0.01
136,widows pension,198,0,0,0.97,0.01
137,winter fuel payment,198,0,0,0.98,0.01
138,student,196,0,0,0.95,0.00
139,heating allowance,193,0,0,0.98,0.01
140,cleaner,193,0,0,0.99,0.01
141,vat,193,0,0,0.99,0.00
142,cancellations,192,0,0,0.94,0.01
143,warehouse,190,0,0,0.98,0.00
144,pension credits,190,0,0,0.99,0.01
145,birth certificate,189,0,0,0.97,0.01
146,probate,186,0,0,0.98,0.01
147,bank holidays,186,0,0,0.98,0.00
148,v5,185,0,0,0.98,0.01
149,income tax,185,0,0,0.94,0.00
150,holidays,184,0,0,0.98,0.01
151,practical driving test,183,0,0,1.00,0.00
152,careers,183,0,0,0.96,0.02
153,equality act,183,0,0,0.97,0.01
154,retail,182,0,0,0.99,0.01
155,sure start,182,0,0,0.97,0.03
156,driving license,181,0,0,0.99,0.00
157,d1 form,181,0,0,0.99,0.00
158,data protection act,177,0,0,0.99,0.00
159,calculator,176,0,0,0.99,0.01
160,council tax benefit,172,0,0,0.96,0.02
161,bus pass,172,0,0,0.98,0.01
162,training,168,0,0,0.98,0.00
163,benefits calculator,166,0,0,0.95,0.03
164,book driving test,165,0,0,0.98,0.01
165,statutory maternity pay,164,0,0,0.97,0.03
166,retirement age,164,0,0,0.94,0.02
167,working time regulations,164,0,0,0.99,0.00
168,social services,163,0,0,0.96,0.00
169,taxdisc,163,0,0,0.97,0.01
170,budget loan,163,0,0,0.99,0.01
171,dvla address,163,0,0,0.99,0.00
172,driving jobs,162,0,0,0.98,0.01
173,childminders,161,0,0,0.98,0.01
174,passport fees,161,0,0,0.97,0.00
