CPS outcomes by principal offence category hertfordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,138,78.4%,38,21.6%
C Sexual Offences,5,45.5%,6,54.5%
D Burglary,25,83.3%,5,16.7%
E Robbery,10,100.0%,0,0.0%
F Theft And Handling,158,91.3%,15,8.7%
G Fraud And Forgery,17,85.0%,3,15.0%
H Criminal Damage,45,88.2%,6,11.8%
I Drugs Offences,107,93.9%,7,6.1%
J Public Order Offences,43,82.7%,9,17.3%
K All Other Offences (excluding Motoring),31,88.6%,4,11.4%
L Motoring Offences,425,93.0%,32,7.0%
Admin Finalisations,0,0.0%,9,100.0%
TOTAL,"1,005",88.2%,134,11.8%
