"HM Treasury Transparency - Publication of spend over £25,000  Amount: '25000', Start: '01-JUL-2012', End: '31-JUL-2012'  ",,,,,,
,,,,,,
Department,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
TW Revenue Funds,02/07/12,Dispensing drugs,GP Practice Payments,Wellington Road Surgery,,"£62,301.26"
TW Revenue Funds,04/07/12,General And Acute,Bl Cont Reg Spec - Gen  and  Acute,BIRMINGHAM EAST AND NORTH PCT,JULY12,"£1,879,812.00"
TW Revenue Funds,04/07/12,Mental Illness,Spec Pl'mt Elec - Ment Illness Non-NHS,LIGHTHOUSE HEALTHCARE LIMITED,LHL2010092,"£58,031.27"
TW Revenue Funds,04/07/12,APMS Essential Services,APMS PRH Malling,MALLING HEALTH LLP,JULY12,"£62,830.45"
TW Revenue Funds,04/07/12,APMS Essential Services,APMS Town Centre Malling,MALLING HEALTH LLP,JULY12,"£68,949.68"
TW Revenue Funds,04/07/12,GMS Discretionary/APMS,Payables,MALLING HEALTH LLP,QOF 2011/12,"£74,106.51"
TW Revenue Funds,04/07/12,FP10'S,Bl Cont Gen - Primary Care,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50001182,"£70,508.00"
TW Revenue Funds,04/07/12,Gross Payments - Dental Practitioners,PDS Pilots DPB,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002006,"£30,356.00"
TW Revenue Funds,04/07/12,IM&T From Other NHS Bodies,General Recharges C,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002153,"£37,875.92"
TW Revenue Funds,12/07/12,Commissioning Other Contractual,Free Nursing Care/CHC,COTTAGE CHRISTIAN,FNC/CHC JLY12,"£27,900.94"
TW Revenue Funds,12/07/12,Commissioning Other Contractual,Free Nursing Care/CHC,LIGHTMOOR VIEW,FNC/CHC/INT JLY12,"£59,648.01"
TW Revenue Funds,12/07/12,Commissioning Other Contractual,Free Nursing Care/CHC,MORRIS CARE CENTRE,FNC/CHC JLY12,"£63,170.84"
TW Revenue Funds,12/07/12,Community Health Services,Free Nursing Care/CHC,RYLANDS CARE,FNC/CHC JLY12,"£42,895.07"
