Department,Entity,Pay Date,Product Family,Expense Area,Supplier Name,Transaction Number,Net Amount
BEIS,UKAEA,15/12/2016,Engineering Goods,Fusion,Sterling Thermal Technology Ltd,5000588,"£30,117.14"
BEIS,UKAEA,09/12/2016,Engineering Goods,Support Services,Science And Technology Facilities Council,5002501,£173.00
BEIS,UKAEA,09/12/2016,Engineering Goods,Fusion,Science And Technology Facilities Council,5002501,£173.00
BEIS,UKAEA,13/12/2016,Facilities,Property,Securitas Security Services,5002803,£71.58
BEIS,UKAEA,13/12/2016,Facilities,Property,Securitas Security Services,5002805,-£116.82
BEIS,UKAEA,05/12/2016,Learning and Development,Fusion,Nafems Ltd,5003089,"£1,600.00"
BEIS,UKAEA,05/12/2016,Office Solutions,Other,Springfield Business Papers Ltd,5003090,"£2,080.00"
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003091,£143.87
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003092,£60.48
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Carbolite Gero Ltd,5003093,"£7,507.02"
BEIS,UKAEA,05/12/2016,Construction,Fusion,Carbolite Gero Ltd,5003094,"£3,445.33"
BEIS,UKAEA,05/12/2016,Operational Goods,Fusion,Arco Ltd,5003095,£31.89
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,SM Gauge Company Limited,5003096,£461.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,National Instruments Ltd,5003097,"£13,091.40"
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,National Instruments Ltd,5003097,£37.57
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,SMC Pneumatics UK Ltd,5003098,£607.20
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,SMC Pneumatics UK Ltd,5003098,£5.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,SMC Pneumatics UK Ltd,5003099,£312.80
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,Nor-Cal UK Ltd,5003100,"£2,570.00"
BEIS,UKAEA,05/12/2016,Logistics and Shipping,Fusion,Nor-Cal UK Ltd,5003100,£15.00
BEIS,UKAEA,05/12/2016,Engineering Goods,Fusion,RS Components Ltd,5003101,£110.10
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Hutton Engineering (Precision) Ltd,5003102,£849.35
BEIS,UKAEA,05/12/2016,Engineering Goods,Other,Omega Engineering Ltd,5003103,£62.00
BEIS,UKAEA,05/12/2016,Professional Services,Property,Burges Salmon,5003105,"£7,818.00"
BEIS,UKAEA,08/12/2016,Engineering Goods,Fusion,HTMS NV,5003106,"£1,649.72"
BEIS,UKAEA,05/12/2016,Research,Fusion,Warwick University,5003107,"£1,440.58"
