Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,Offal,Fluke Immature,2018-01,England,1,1,1,100
Buffalo,AnteMortem,Localised Swelling/Lumps,2018-01,England,1,39,6,2.564
Buffalo,Carcases,Abscesses ??? Hindquarters,2018-01,England,1,39,6,2.564
Buffalo,Carcases,Abscesses ??? Neck,2018-01,England,1,39,6,2.564
Buffalo,Carcases,Bruising,2018-03,England,1,26,3,3.846
Buffalo,Carcases,Other,2018-03,Wales,1,2,1,50
Buffalo,Offal,Contamination,2018-01,England,6,39,6,15.385
Buffalo,Offal,Contamination,2018-02,England,8,45,3,17.778
Buffalo,Offal,Contamination,2018-03,England,5,26,3,19.231
Buffalo,Offal,Fluke Immature,2018-02,Wales,1,2,1,50
Buffalo,Offal,Fluke Mature,2018-01,England,8,39,6,20.513
Buffalo,Offal,Fluke Mature,2018-01,Wales,1,1,1,100
Buffalo,Offal,Hepatic Scarring,2018-01,England,1,39,6,2.564
Buffalo,Offal,Hepatic Scarring,2018-02,England,1,45,3,2.222
Buffalo,Offal,Hepatic Scarring,2018-03,England,1,26,3,3.846
Buffalo,Offal,Other,2018-01,England,4,39,6,10.256
Buffalo,Offal,Pleurisy,2018-01,England,2,39,6,5.128
Buffalo,Offal,Pleurisy,2018-03,Wales,1,2,1,50
Buffalo,Offal,Pneumonia,2018-01,England,5,39,6,12.821
Buffalo,Offal,Pneumonia,2018-02,England,1,45,3,2.222
Buffalo,Offal,Pneumonia,2018-02,Wales,1,2,1,50
Buffalo,Offal,Pneumonia,2018-03,Wales,1,2,1,50
Buffalo,Offal,Traumatic Pericarditis,2018-01,England,1,39,6,2.564
Buffalo,Offal,Traumatic Pericarditis,2018-02,England,1,45,3,2.222
Calves,AnteMortem,Abnormal Respiratory Signs,2018-01,England,3,4467,30,0.067
Calves,AnteMortem,Abnormal Respiratory Signs,2018-02,England,12,6589,26,0.182
Calves,AnteMortem,Abnormal Respiratory Signs,2018-03,England,39,10657,27,0.366
Calves,AnteMortem,Abnormal Respiratory Signs,2018-02,Wales,2,793,3,0.252
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2018-03,England,12,10657,27,0.113
Calves,AnteMortem,Dead on Arrival (DOA),2018-03,England,2,10657,27,0.019
Calves,AnteMortem,Diarrhoea,2018-01,England,1,4467,30,0.022
Calves,AnteMortem,Diarrhoea,2018-03,England,12,10657,27,0.113
Calves,AnteMortem,Eye Condition,2018-02,England,1,6589,26,0.015
Calves,AnteMortem,Lameness ??? Foot Lesion(s),2018-02,England,1,6589,26,0.015
Calves,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2018-02,England,2,6589,26,0.03
Calves,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2018-03,England,1,10657,27,0.009
Calves,AnteMortem,Lameness ??? Not Defined,2018-01,England,1,4467,30,0.022
Calves,AnteMortem,Lameness ??? Not Defined,2018-02,England,1,6589,26,0.015
Calves,AnteMortem,Lameness ??? Not Defined,2018-03,England,3,10657,27,0.028
Calves,AnteMortem,Moribund/ Recumbent,2018-01,England,1,4467,30,0.022
Calves,AnteMortem,Neurological/Nervous Signs,2018-02,England,2,6589,26,0.03
Calves,AnteMortem,Other,2018-03,England,4,10657,27,0.038
Calves,AnteMortem,Prolapsed Uterus,2018-03,England,3,10657,27,0.028
Calves,AnteMortem,Ringworm,2018-01,England,3,4467,30,0.067
Calves,AnteMortem,Ringworm,2018-02,England,7,6589,26,0.106
Calves,AnteMortem,Ringworm,2018-03,England,2,10657,27,0.019
Calves,AnteMortem,Slaughtered in Lairage,2018-03,England,2,10657,27,0.019
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2018-02,England,2,6589,26,0.03
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2018-03,England,13,10657,27,0.122
Calves,AnteMortem,Suspect Fever,2018-01,England,1,4467,30,0.022
Calves,AnteMortem,Suspect Fever,2018-02,England,1,6589,26,0.015
Calves,AnteMortem,Trauma ??? Soft Tissue,2018-02,England,1,6589,26,0.015
