Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,04/01/2018,Training - Course Fees ,Human Resources ,CSL - KPMG LLP ,100269-155 ,"£39,130.00",DFIDs contribution to the Civil Service priority learning - Stepping into Leadership Programme for the period September 2017 - March 2018
DFID,DFID,23/01/2018,,Research and Evidence Division ,THE POLICY PRACTICE LTD ,202331-102 ,"£15,038.70",
DFID,DFID,15/01/2018,Hotels - Accommodation only ,Top Management Group ,Foreign & Commonwealth Office ,100232-102 ,"£1,540.67",
DFID,DFID,15/01/2018,Other passenger transport ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101601-110 ,"£1,044.07",
DFID,DFID,08/01/2018,Secure Staff Accommodation ,Research and Evidence Division ,Foreign & Commonwealth Office ,203874-103 ,"£12,427.33",
DFID,DFID,08/01/2018,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,204857-102 ,"£7,848.84",
DFID,DFID,08/01/2018,Project delivery costs â€“ supplier services ,Business Solutions Division Level ,FCO RECOVERIES UNIT ,200002-229 ,"£124,381.20",DFID's contribution to the cross-government Global Telecoms Programme for the period Apri to September 2017
DFID,DFID,17/01/2018,Contract & Agency Staff ,Business Solutions Division Level ,ALLEGIS GROUP LIMITED ,200005-138 ,"£2,250.00",
DFID,DFID,17/01/2018,other information and communication technologies ,Business Solutions Division Level ,Leidos Innovations UK ,200002-173 ,"£109,885.52",Managed Service cost for DFID's Cloud based Electronic Document & Record Management (EDRM) System Vault - October to December 2017 
DFID,DFID,04/01/2018,Air fares ,Finance and Corporate Performance Division ,Corporate Travel Provider ,100008-104 ,£580.41,
DFID,DFID,04/01/2018,Air fares ,Finance and Corporate Performance Division ,Corporate Travel Provider ,100008-104 ,£668.50,
DFID,DFID,04/01/2018,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100011-110 ,"£1,417.26",
DFID,DFID,04/01/2018,Hotels - Accommodation only ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,£636.75,
DFID,DFID,04/01/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-110 ,"£1,948.73",
DFID,DFID,31/01/2018,Conferences  Seminars & Meeting/Event Resource ,Research and Evidence Division ,Reuters Foundation Consultants Ltd ,203874-106 ,"£15,655.00",
DFID,DFID,04/01/2018,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-108 ,£966.04,
DFID,DFID,04/01/2018,Hotels - Accommodation only ,Research and Evidence Division ,Corporate Travel Provider ,100039-108 ,£524.35,
DFID,DFID,04/01/2018,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-110 ,"£1,029.71",
DFID,DFID,04/01/2018,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-102 ,£507.57,
DFID,DFID,15/01/2018,Hotels - Accommodation only ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£4,028.50",
DFID,DFID,04/01/2018,Hotels - Accommodation only ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-102 ,£600.00,
DFID,DFID,04/01/2018,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-134 ,£696.47,
DFID,DFID,15/01/2018,Hotels - Accommodation only ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£4,028.50",
DFID,DFID,04/01/2018,Air fares ,West and Southern Africa ,Corporate Travel Provider ,100068-101 ,£698.05,
DFID,DFID,22/01/2018,Telephone Usage & services ,East and Central Africa ,Foreign & Commonwealth Office ,101635-101 ,£647.31,
DFID,DFID,04/01/2018,Hotels - Accommodation only ,East and Central Africa ,Corporate Travel Provider ,101635-101 ,£679.50,
DFID,DFID,04/01/2018,Air fares ,East and Central Africa ,Corporate Travel Provider ,101635-101 ,£885.50,
DFID,DFID,15/01/2018,Telephone Usage & services ,West and Southern Africa ,Foreign & Commonwealth Office ,101637-101 ,"£1,152.44",
DFID,DFID,04/01/2018,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101637-101 ,£523.90,
DFID,DFID,04/01/2018,Air fares ,West and Southern Africa ,Corporate Travel Provider ,101637-102 ,£513.41,
DFID,DFID,15/01/2018,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£773.21,
DFID,DFID,04/01/2018,Air fares ,Policy Division ,Corporate Travel Provider ,100098-101 ,"£2,027.31",
DFID,DFID,03/01/2018,Office Supplies ,Group Operations , Banner,100106-101 ,£534.34,
DFID,DFID,03/01/2018,Office Equipment - Purchases ,Group Operations , Plumbnation Ltd ,100106-101 ,£583.37,
