Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,12.09.2012,Travel Expenses UK,Air Accident Investigation Branch,AVIS RENT A CAR,2000011744,582.61,#,RG12 2EW
Department for Transport,Department for Transport,12.09.2012,Car Hire and Leasing,Air Accident Investigation Branch,ALLSTAR BUSINESS SOLUTIONS LIMITED,2000011742,767.6,#,SN5 6PS
Department for Transport,Department for Transport,19.09.2012,Travel Expenses UK,Air Accident Investigation Branch,AVIS RENT A CAR,2000012337,767.51,#,RG12 2EW
Department for Transport,Department for Transport,26.09.2012,Car Hire and Leasing,Air Accident Investigation Branch,LOMBARD VEHICLE MANAGEMENT LTD,2000012912,6326.28,#,B1 2TZ
Department for Transport,Department for Transport,21.09.2012,Electricity,Air Accident Investigation Branch,MINISTRY OF DEFENCE,2000012499,1479.74,MOD AAIB Electricity,L2 3YL
Department for Transport,Department for Transport,11.09.2012,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000011693,1899.34,#,NR3 1PD
Department for Transport,Department for Transport,11.09.2012,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000011693,2385,#,NR3 1PD
Department for Transport,Department for Transport,11.09.2012,Printing,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000011693,3178.12,#,NR3 1PD
Department for Transport,Department for Transport,14.09.2012,Web Design Services,Air Accident Investigation Branch,EPIC PERFORMANCE IMPROVEMENT LTD,2000012094,2640,#,BN1 1NH
Department for Transport,Department for Transport,14.09.2012,Storage & Distributi,Air Accident Investigation Branch,WILLIAMS LEA LIMITED,2000012109,2184.14,#,NR3 1PD
Department for Transport,Department for Transport,17.09.2012,Property Maintenance,Air Accident Investigation Branch,INTERSERVE,2000012198,590.59,#,BS32 4NH
Department for Transport,Department for Transport,17.09.2012,Property Maintenance,Air Accident Investigation Branch,INTERSERVE,2000012198,590.59,#,BS32 4NH
Department for Transport,Department for Transport,19.09.2012,Machinery Rental,Air Accident Investigation Branch,OCE UK LTD,2000012348,826.8,#,CM14 4DZ
Department for Transport,Department for Transport,19.09.2012,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000012367,1344,#,SW11 3UL
Department for Transport,Department for Transport,19.09.2012,Support Services,Air Accident Investigation Branch,BASSOM COMPUTER CONSULTANCY,2000012340,611.4,#,GU9 8LS
Department for Transport,Department for Transport,19.09.2012,IT Equip Cap Cost,Air Accident Investigation Branch,BASSOM COMPUTER CONSULTANCY,2000012340,9531.6,#,GU9 8LS
Department for Transport,Department for Transport,20.09.2012,Computer equipment,Air Accident Investigation Branch,SOFTWARE BOX LTD,2000012410,1552.47,SBL CS6 DESIGN & WEB NON ETHOS AAIB,YO61 1ET
Department for Transport,Department for Transport,20.09.2012,Training,Air Accident Investigation Branch,BLINK LTD,2000012429,1430,#,UB3 4AZ
Department for Transport,Department for Transport,20.09.2012,Training,Air Accident Investigation Branch,OTTERSHAW AVIATION LTD,2000012432,1008,#,KT16 0HD
Department for Transport,Department for Transport,20.09.2012,Training,Air Accident Investigation Branch,ATH TRAINING LTD,2000012435,700,#,RG45 6BB
Department for Transport,Department for Transport,21.09.2012,Computer equipment,Air Accident Investigation Branch,DELL CORPORATION LTD,2000012485,5314.68,#,RG12 1LF
Department for Transport,Department for Transport,25.09.2012,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000012660,2696.75,#,EN8 0NJ
Department for Transport,Department for Transport,25.09.2012,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000012660,5394.92,#,EN8 0NJ
Department for Transport,Department for Transport,25.09.2012,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000012660,902.75,#,EN8 0NJ
Department for Transport,Department for Transport,25.09.2012,Contract Cleaning,Air Accident Investigation Branch,NETWORK CLEANING SERVICES LTD,2000012670,1790,#,GU51 3XB
Department for Transport,Department for Transport,25.09.2012,Computer equipment,Air Accident Investigation Branch,Probrand Ltd,2000012658,611.3,PROBRAND HP M602N PRINTER NOT ETHOS,B1 3BP
Department for Transport,Department for Transport,26.09.2012,Computer equipment,Air Accident Investigation Branch,DELL CORPORATION LTD,2000012889,11657.76,#,RG12 1LF
Department for Transport,Department for Transport,26.09.2012,Computer equipment,Air Accident Investigation Branch,DELL CORPORATION LTD,2000012889,6708.66,#,RG12 1LF
