objectid,nuts115cd,nuts115nm,st_areashape,st_lengthshape
1,UKC,North East (England),8594684665.67184,880106.583836832
2,UKD,North West (England),14156259281.1903,1569706.78779704
3,UKE,Yorkshire and The Humber,15415293484.1777,1021487.57206235
4,UKF,East Midlands (England),15640490060.2395,1137064.09253661
5,UKG,West Midlands (England),13004108872.68,832532.393480384
6,UKH,East of England,19133488794.2659,1716004.18032419
7,UKI,London,1573798162.48293,353950.895125419
8,UKJ,South East (England),19093214087.403,1803044.9890509
9,UKK,South West (England),23861898015.3052,2517101.55673285
10,UKL,Wales,20781985014.4186,2223785.09008801
