P/L Individual Transactions Over £25K,Inv Cert Date between 01/08/2012 and 31/08/2012,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,GASTROENETEROLOGY,NHS SUPPLY CHAIN,2013002030,"80,614.10"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,AMBULATORY CARE,NHS SUPPLY CHAIN,2013002030,"18,901.93"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,ENT,NHS SUPPLY CHAIN,2013002030,"9,968.08"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,THEATRES,NHS SUPPLY CHAIN,2013002030,"7,116.46"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,THEATRES,NHS SUPPLY CHAIN,2013002030,"6,535.10"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,THEATRES,NHS SUPPLY CHAIN,2013002030,"1,633.78"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,CLINICAL SUPPLIES,GENERAL SURGERY,NHS SUPPLY CHAIN,2013002030,"1,107.56"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/08/2012,PREMISES & FIXED PLANT,ICT,MCKESSON INFORMATION SOLUTIONS UK LTD,INV008286,"70,079.10"
Department of Health,Colchester Hospital University NHS Foundation Trust,02/08/2012,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,91099143,"60,560.64"
Department of Health,Colchester Hospital University NHS Foundation Trust,02/08/2012,CLINICAL SUPPLIES,PATHOLOGY,NHS BLOOD & TRANSPLANT,815248,"131,319.98"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/08/2012,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1013064952,"103,284.26"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/08/2012,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,13959300,"37,950.14"
Department of Health,Colchester Hospital University NHS Foundation Trust,06/08/2012,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,IN058169911,358.39
Department of Health,Colchester Hospital University NHS Foundation Trust,06/08/2012,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,IN058169911,"29,866.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,07/08/2012,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1013068455,"112,536.32"
Department of Health,Colchester Hospital University NHS Foundation Trust,08/08/2012,PREMISES & FIXED PLANT,FACILITIES,EDF ENERGY,183762920008,"52,828.22"
Department of Health,Colchester Hospital University NHS Foundation Trust,08/08/2012,PREMISES & FIXED PLANT,FACILITIES,EDF ENERGY,184216390006,"30,594.54"
