NHSAT14CD,NHSAT14NM,NHSRG15CD,NHSRG15NM,OBJECTID
E39000001,"Cheshire, Warrington and Wirral",E39000026,NHS England North (Cheshire and Merseyside),0
E39000005,Merseyside,E39000026,NHS England North (Cheshire and Merseyside),1
E39000006,"Cumbria, Northumberland, Tyne and Wear",E39000027,NHS England North (Cumbria and North East),2
E39000002,"Durham, Darlington and Tees",E39000027,NHS England North (Cumbria and North East),3
E39000003,Greater Manchester,E39000028,NHS England North (Lancashire and Greater Manchester),4
E39000004,Lancashire,E39000028,NHS England North (Lancashire and Greater Manchester),5
E39000007,North Yorkshire and Humber,E39000029,NHS England North (Yorkshire and Humber),6
E39000008,South Yorkshire and Bassetlaw,E39000029,NHS England North (Yorkshire and Humber),7
E39000009,West Yorkshire,E39000029,NHS England North (Yorkshire and Humber),8
E39000016,Leicestershire and Lincolnshire,E39000030,NHS England Midlands and East (Central Midlands),9
E39000015,Hertfordshire and the South Midlands,E39000030,NHS England Midlands and East (Central Midlands),10
E39000013,East Anglia,E39000031,NHS England Midlands and East (East),11
E39000014,Essex,E39000031,NHS England Midlands and East (East),12
E39000012,Derbyshire and Nottinghamshire,E39000032,NHS England Midlands and East (North Midlands),13
E39000017,Shropshire and Staffordshire,E39000032,NHS England Midlands and East (North Midlands),14
E39000011,Birmingham and the Black Country,E39000033,NHS England Midlands and East (West Midlands),15
E39000010,"Arden, Herefordshire and Worcestershire",E39000033,NHS England Midlands and East (West Midlands),16
E39000018,London,E39000018,NHS England London,17
E39000024,Thames Valley,E39000034,NHS England South (South Central),18
E39000019,"Bath, Gloucestershire, Swindon and Wiltshire",E39000034,NHS England South (South Central),19
E39000022,Kent and Medway,E39000035,NHS England South (South East),20
E39000023,Surrey and Sussex,E39000035,NHS England South (South East),21
E39000021,"Devon, Cornwall and Isles of Scilly",E39000036,NHS England South (South West),22
E39000020,"Bristol, North Somerset, Somerset and South Gloucestershire",E39000036,NHS England South (South West),23
E39000025,Wessex,E39000025,NHS England South (Wessex),24
