CPS outcomes by principal offence category west_midlands,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.0%,0,0.0%
B Offences Against The Person,374,75.3%,123,24.7%
C Sexual Offences,33,64.7%,18,35.3%
D Burglary,111,88.8%,14,11.2%
E Robbery,80,85.1%,14,14.9%
F Theft And Handling,634,93.8%,42,6.2%
G Fraud And Forgery,37,90.2%,4,9.8%
H Criminal Damage,151,90.4%,16,9.6%
I Drugs Offences,239,92.6%,19,7.4%
J Public Order Offences,121,81.8%,27,18.2%
K All Other Offences (excluding Motoring),173,79.7%,44,20.3%
L Motoring Offences,661,86.4%,104,13.6%
Admin Finalisations,0,0.0%,26,100.0%
TOTAL,"2,617",85.3%,451,14.7%
