Scheme Reference,Ward,Recipient of ward funding,Scheme details ,Ward Priority met,Date passed to Ward Committee for decision,Date funding approved by Ward Committee,Final amount approved,Status
AC-16-14,Acomb,CYC commisioned external providers,Sports activities provision for young people in the ward - sumer 2017,"Increasing facilities and activities for young people , Improving health and wellbeing, Improving community involvement",01/02/2017,15/02/2017,1910,paid
AC-16-14a,Acomb,CYC commisioned external providers,Sports activities provision for young people in the ward - sumer 2017,"Increasing facilities and activities for young people , Improving health and wellbeing, Improving community involvement",01/02/2017,15/02/2017,1910,paid
AC-17-01,Acomb ,CYC Public Health team,Funding towards publicity materials and other costs associated with running of the Acomb Fun Run +  publicity of sports activities commisioned by the ward for summer 2017,"Increasing facilities and activities for young people , Improving health and wellbeing, Improving community involvement",01/02/2017,14/03/2017,500,Funding released
AC-17-03,Acomb ,The Island,1 to 1 mentoring mentoring of 8 vulnerable young people from the ward over the period of 52 weeks,"Increasing facilities and activities for young people , Improving health and wellbeing, Improving community involvement",01/04/2017,06/07/2017,6240,released to the group
AC-17-04,Acomb ,CYC Public Realm Team,dual purpose bin to be placed at the Boroughbridge Road end of the snicket from Albion Avenue,"A cleaner, greener ward",05/04/2017,05/04/2017,0,Bin requested
AC-17-05,Acomb ,CYC commisioned an external contractor,Replacement  of the front plastic glazing  on the  Princess Drive notice board.,Increasing community involvement,23/03/2017,05/04/2017,135,commisioned
AC-17-06,Acomb,CYC Highways,Danebury Crescent - to reconstruct footway and verges in Tarmac allowing vehicles to overrun on the verge. This is to eliminate recurring damage to grass verges.,Improvements to the local highways infrastructure - capital pot,05/04/2017,13/10/2017,25000,scheme commissioned 
AC-17-07,Acomb,Older Citizens Advocacy York,"A grant towards the postcard project to identify older people who are suffering from loneliness or social isolation. The project will incorporate door to door work, ‘pop up’ social hubs in differing areas of the ward and recruitment of community friend volunteers.","reducing social isolation, increasing community involvement",23/05/2017,22/06/2017,3250,released to the group
AC-17-08,Acomb,Holy Redeemer Church,A grant towards purchase of a secure store to be placed within the Church grounds to provide additional storage space to enable groups to expand their work and to welcome potential new users,"Increasing community involvement, increasing facilities and activities for young people",23/05/2017,22/06/2017,2600,released to the group
AC-17-09,Acomb,Carr Allotments Association,"A grant towards developement an existing ‘community plot’ on the Carr allotment site including creation of an inclusive and social space for plot holderswith a view for the plot to be used as an engagement environment with outside groups e.g. Carr Junior School. The community plot will include a community notice board, a covered seating area to double as a lecture/demonstration space, a pond, easy-access raised beds for use with the elderly, young children and wheelchair users, and a small wild flower meadow to complement the onsite apiary and increase biodiversity.","Increasing community involvement, increasing facilities and activities for young people, reducing social isolation, improving health and wellbeing, a cleaner, greener ward",23/05/2017,22/06/2017,1145,released to the group
AC-17-10,Acomb,Chill in the Community,"A grant towards development of facilities to incorporate a group kitchen.The kitchen will be used for teaching vulnerable adults to cook independently, teaching teens to cook for themselves nutritiously and on a budget, cooking for carers and young carers as a peer support activity, cooking groups for children with special needs as an inclusion and stimulation activity, providing mums with a space to practice weaning recipes as part of existing peer support, cooking lessons/brunch gatherings for people who may be socially isolated, to facilitate weekly pay as you feel YOURCAFE sessions run by people with additional needs supported by the Chill in the Community staff, budget cooking lessons for local families and working with Edibledible York and Abundance York.","increasing community involvement, reducing social isolation",23/05/2017,17/07/2017,4280,released to the group
AC-17-13,Acomb,Acomb Alive Traders Association,"A grant for plants and planters to be installed outside businesses on The Green, Acomb.","A cleaner, greener ward",22/05/2017,22/06/2017,470,Released to the group
AC-17-21,Acomb,Yorkey Dads,A grant towards start up costs of Yorkey Dads breakfast club at Lidgett Methodist Church ,"Reducing social isolation , improving health and wellbeing, increasing community involvement, improving facilities and activities for young people",04/08/2017,07/08/2017,2000,released to the group
AC-17-22,Acomb,CYC,Wheatlands Grove street lights redesign,Highways improvements,07/07/2017,01/09/2017,500,paid
AC-17-24,Acomb,New Visuality,"A grant for a 'The Acomb Time Traveller' project which aims to recruit 20 local young people and support them to develop a wide range of creative skills such as digital arts, silk screen poster making,, photography and storytelling.","Improving facilities and activities for young people, Increased community involvement",22/11/2017,22/12/2017,2011,funding released
AC-17-28,Acomb,Citizens Advice Bureau,A grant to Citizens Advice Bureau towards weekly advice and budgeting sessions in the ward.,"Reducing social isolation, improving health and wellbeing, increased community involvement",13/12/2017,22/12/2017,4330,grant released
Bi-17-01,Bishopthorpe,Lower Wharfe Canoe Club,Purchase of a speciality kayak ,Reduce social Isolation,23/03/2017,24/03/2017,429,Funding Agreed
Bi-17-02,Bishopthorpe,Brunswick organic nursery,Annual grounds maintenance in Bishopthorpe Ward,Improve the enviroment,23/03/2017,31/03/2017,4150,Funding Agreed
BI-17-03,Bishopthorpe,Vernon House Mens Shed,Grant to the new mens group at Vernon House to purchase a shed to help store tools and equipment for the projects,1: Encourage community involvement.  2: Reduce social isolation,29/06/2017,29/06/2017,500,Paid
BI-17-04,Bishopthorpe,Friends of Bishopthorpe Infant School,"Grant to provide sheds, gravel, paving to help set up the new garden area for the kids gardening club",Encouraging commuity involvement,17/07/2017,19/07/2017,1500,Funding Agreed
Bi-17-05,Bishopthorpe,Highways,New Sign at Acaster Malbis,Enhance and improve the local environment,29/07/2017,29/07/2017,1246.14,Paid
BI-17-07,Bishopthorpe,Brunswick Organic Nursery,"Grant to Brunswick Organic Nursery for general maintenance work; to tidy up and replant planters, plant trees, provide extra planters, trim hedges, strim weeds and remove rubbish when required",1: Enhance and improve the local environment. 2: Encourage community involvement. 3: Reduce social isolation,04/10/2017,04/10/2017,5500,Paid
CL-16-19 ,Clifton ,CYC ,Purchase 750 lavender plants along Kingsway North to continue the Colourful Clifton Project with volunteers across the ward ,Cleaner and greener Clifton (2016/17 priority),15/04/2017,15/04/2017,1087.5,Plants on order
