CPS outcomes by principal offence category leicestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,191,83.8%,41,16.3%
C Sexual Offences,12,83.3%,4,16.7%
D Burglary,41,81.6%,4,18.4%
E Robbery,8,73.9%,1,26.1%
F Theft And Handling,186,94.3%,15,5.7%
G Fraud And Forgery,18,87.5%,0,12.5%
H Criminal Damage,52,95.1%,9,4.9%
I Drugs Offences,53,97.8%,4,2.2%
J Public Order Offences,93,89.7%,17,10.3%
K All Other Offences (excluding Motoring),50,86.7%,7,13.3%
L Motoring Offences,395,94.0%,25,6.0%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,"1,099",88.9%,137,11.1%
