Period: Nov 2014,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Types,Detailed Expenses Type,Expense Code,Narrative,Payment Date,Transaction Number,Order ID,Amount,Capital/Revenue,Supplier Name,Supplier ID,Customer ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,11/11/2014,10402686,0,"1,260.22",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,11/11/2014,10402741,0,46.80,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,11/11/2014,10402741,0,"1,377.88",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,241.65,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,-925.20,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,"1,323.12",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405921,0,519.52,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,21/11/2014,10405920,0,"1,377.88",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,11/11/2014,10401612,0,18.45,R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Services,Children Services Teams,Social Care and Health,Employees,Direct Employee Expenses,Agency Staff,,11/11/2014,10402741,0,"1,260.22",R,Randstad Employment Bureau Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
