CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,96,76.8%,29,23.2%
P01-Avon&Somerset,4,80.0%,1,20.0%
P02-Bedfordshire,1,100.0%,0,0.0%
P03-Cambridgeshire,1,100.0%,0,0.0%
P04-Cheshire,1,100.0%,0,0.0%
P06-Cleveland,0,0,0,0
P07-Cumbria,0,0,0,0
P08-Derbyshire,0,0,0,0
P09-Devon&Cornwall,1,100.0%,0,0.0%
P10-Dorset,1,100.0%,0,0.0%
P11-Durham,0,0,0,0
P12-DyfedPowys,1,100.0%,0,0.0%
P13-Essex,1,50.0%,1,50.0%
P14-Gloucestershire,1,25.0%,3,75.0%
P15-GreaterManchester,7,100.0%,0,0.0%
P16-Gwent,1,100.0%,0,0.0%
P17-Hampshire,0,0,0,0
P18-Hertfordshire,2,100.0%,0,0.0%
P19-Humberside,2,100.0%,0,0.0%
P20-Kent,0,0,0,0
P21-Lancashire,2,100.0%,0,0.0%
P22-Leicestershire,0,0,0,0
P23-Lincolnshire,0,0,0,0
P24-Merseyside,5,83.3%,1,16.7%
P25-Metropolitan&City,15,57.7%,11,42.3%
P26-Norfolk,0,0,0,0
P27-Northamptonshire,2,100.0%,0,0.0%
P28-Northumbria,5,100.0%,0,0.0%
P29-NorthWales,0,0,0,0
P30-NorthYorkshire,1,100.0%,0,0.0%
P31-Nottinghamshire,3,100.0%,0,0.0%
P32-SouthWales,3,100.0%,0,0.0%
P33-SouthYorkshire,0,0,0,0
P34-Staffordshire,1,100.0%,0,0.0%
P35-Suffolk,2,100.0%,0,0.0%
P36-Surrey,4,100.0%,0,0.0%
P37-Sussex,4,100.0%,0,0.0%
P38-ThamesValley,7,50.0%,7,50.0%
P39-Warwickshire,0,0,0,0
P40-WestMercia,2,100.0%,0,0.0%
P41-WestMidlands,11,68.8%,5,31.3%
P42-WestYorkshire,5,100.0%,0,0.0%
P43-Wiltshire,0,0,0,0
