Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,HEALTHCARE FROM LOCAL AUTHORITIES,COMMUNITY SERVICES REABLEMENT,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,74990830038,"22,891.78"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,HEALTHCARE FROM LOCAL AUTHORITIES,COMMUNITY SERVICES REABLEMENT,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,74990830038,"4,578.36"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,16344/04,"22,570.87"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,16344/04,"22,570.83"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,16344/04,"-22,570.87"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,CRAIG HAMBLING LTD,13/0093,"36,746.78"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,VAT DEBTOR < ONE YEAR,BALANCE SHEET,CRAIG HAMBLING LTD,13/0093,"5,170.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/05/2013,CAPITAL CREDITORS < ONE YEAR,BALANCE SHEET,CRAIG HAMBLING LTD,13/0093,-551.2
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ELECTRICITY,UTILITIES,EDF ENERGY,13,"56,143.10"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ELECTRICITY,UTILITIES,EDF ENERGY,13,"11,228.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/3469994,"45,760.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,30/05/2013,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/3516559,"30,745.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,INTERSYSTEMS UK,1303-002-000414,"34,100.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,INTERSYSTEMS UK,1303-002-000414,"15,004.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,INTERSYSTEMS UK,1303-002-000414,"6,820.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,17/05/2013,ADDITIONS - INFORMATION TECHNOLOGY,BALANCE SHEET,INTERSYSTEMS UK,1303-002-000414,"3,000.80"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,03/05/2013,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,401257,"196,518.68"
