PRACTICE_NAME,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POST_CODE,PHONE_NUMBER,Eastings,Northings
THE BOULEVARD MEDICAL PRACTIC,116 SAVILE PARK ROAD,,HALIFAX,,HX1 2ES,,408836,424486
STATION ROAD SURGERY,STATION ROAD SURGERY,STATION ROAD,SOWERBY BRIDGE,WEST YORKSHIRE,HX6 3AB,0844 4778916,406011,423418
QUEENS ROAD SURGERY,252 QUEENS ROAD,KING CROSS,HALIFAX,WEST YORKSHIRE,HX1 4NJ,01422 330636,407910,425380
RYDINGS HALL SURGERY,RYDINGS HALL SURGERY,CHURCH LANE,BRIGHOUSE,WEST YORKSHIRE,HD6 1AT,01484 715324,414453,422981
HEBDEN BRIDGE GROUP PRACTICE,VALLEY MEDICAL CENTRE,"VALLEY ROAD,HEBDEN BRIDGE",HALIFAX,WEST YORKSHIRE,HX7 7BZ,0844 4772477,399325,427536
HEBDEN BRIDGE GROUP PRACTICE,GRANGE DENE MEDICAL CENTRE,BURNLEY ROAD,MYTHOLMROYD,WEST YORKSHIRE,HX7 5LF,0844 4772477,401268,426070
HEBDEN BRIDGE GROUP PRACTICE,MINI-CLINIC,KERSHAW DRIVE,LUDDENDENFOOT,WEST YORKSHIRE,HX2 6PD,0844 4772477,403803,425562
ROSEGARTH PRACTICE,ROSEGARTH SURGERY,ROTHWELL MOUNT,HALIFAX,WEST YORKSHIRE,HX1 2HB,01422 353450,408575,424283
ROSEGARTH PRACTICE,117 OXFORD LANE,SIDDAL,HALIFAX,,HX3 9DG,01422 350420,410077,423275
BRIG ROYD SURGERY,BRIG ROYD SURGERY,HIRSTWOOD,RIPPONDEN,,HX6 4BN,01422 822209,404119,419912
THE NORTHOLME PRACTICE,KOS CLINIC,4 ROYDLANDS STREET,"HIPPERHOLME, HALIFAX",WEST YORKSHIRE,HX3 8AF,01422 205154,412710,425521
STAINLAND ROAD MEDICAL CENTRE,STAINLAND RD MEDICAL CTR,70 STAINLAND ROAD,"GREETLAND, HALIFAX",,HX4 8BD,01422 374109,409500,421041
KEIGHLEY ROAD SURGERY,KEIGHLEY ROAD SURGERY,KEIGHLEY ROAD,"ILLINGWORTH, HALIFAX",WEST YORKSHIRE,HX2 9LL,0844 4773417,407093,428658
CHURCH LANE SURGERY,THE CHURCH LANE SURGERY,24 CHURCH LANE,BRIGHOUSE,WEST YORKSHIRE,HD6 1AT,01484 714349,414453,422981
SPRING HALL GROUP PRACTICE,SPRING HALL GROUP PRACT,SPRING HALL MEDICAL CTR,SPRING HALL LANE,HALIFAX,HX1 4JG,01422 349501,407165,424967
PLANE TREES GROUP PRACTICE,THE PLANE TREES GRP PRACT,51 SANDBEDS ROAD,"PELLON, HALIFAX",WEST YORKSHIRE,HX2 0QL,01422 330860,407062,426011
RASTRICK HEALTH CENTRE,RASTRICK HEALTH CENTRE,CHAPEL CROFT,"RASTRICK, BRIGHOUSE",WEST YORKSHIRE,HD6 3NA,01484 710853,413822,421394
BANKFIELD SURGERY,BANKFIELD SURGERY,HUDDERSFIELD ROAD,ELLAND,WEST YORKSHIRE,HX5 9BA,0844 4773598,410985,421110
BURLEY STREET SURGERY,BURLEY STREET SURGERY,BURLEY STREET,ELLAND,WEST YORKSHIRE,HX5 0AQ,01422 372057,410764,420781
KING CROSS PRACTICE,KING CROSS SURGERY,199 KING CROSS ROAD,"KING CROSS, HALIFAX",WEST YORKSHIRE,HX1 3LW,0844 4773371,408004,424328
HORNE STREET SURGERY,HORNE STREET SURGERY,HORNE STREET HEALTH CTR,"HANSON LANE, HALIFAX",,HX1 5UA,0844 4773694,408562,425481
LISTER LANE SURGERY,UNIT 1 VICTORIS LODGE,30 LISTER LANE,HALIFAX,WEST YORKSHIRE,HX1 5AX,01422 353956,408973,425138
BEECHWOOD MEDICAL CENTRE,BEECHWOOD MEDICAL CENTRE,60A KEIGHLEY ROAD,OVENDEN,HALIFAX,HX2 8AL,0844 4773715,407935,427436
BOOTHTOWN SURGERY,BOOTHTOWN MEDICAL CENTRE,WOODSIDE ROAD,HALIFAX,,HX3 6EL,0844 4773687,408876,425987
SOUTHOWRAM SURGERY,SOUTHOWRAM SURGERY,"LAW LANE, SOUTHOWRAM",HALIFAX,,HX3 9QB,01422 344107,411206,423999
