Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount
HMRC,VOA,01/06/2016,Furniture,Corporate,Flexiform Business Furniture Ltd,5100002134,"-84,198.72"
HMRC,VOA,01/06/2016,Mapeley Property Services,Corporate,Mapeley Steps Contractor Ltd,5100002135,"-25,833.60"
HMRC,VOA,03/06/2016,Telephony,Corporate,MAIN-TEL (NE) LTD,5100002143,"-54,360.09"
HMRC,VOA,03/06/2016,IT Services,Corporate,SPECIALIST COMPUTER CENTRES (EDI),5100002148,"-34,406.95"
HMRC,VOA,03/06/2016,IT Services,Corporate,Envitia Ltd,5100002182,"-61,800.00"
HMRC,VOA,06/06/2016,Royal Mail Postage,Corporate,ROYAL MAIL,1900006918,"-80,036.90"
HMRC,VOA,13/06/2016,Training,Corporate,CAPITA BUSINESS SERVICES LTD,5100002327,"-28,629.50"
HMRC,VOA,13/06/2016,Network Charges,Corporate,TNT UK LTD,5100002361,"-44,739.13"
HMRC,VOA,13/06/2016,Furniture,Corporate,Senator International Ltd,5100002399,"-58,957.37"
HMRC,VOA,13/06/2016,Accommodation Charges,Corporate,CABINET OFFICE,5100002442,"-144,264.00"
HMRC,VOA,14/06/2016,IT Services,Corporate,Risual Limited,5100002470,"-43,389.00"
HMRC,VOA,17/06/2016,IT Contract,Corporate,CAPGEMINI UK PLC,1700000563,"673,742.28"
HMRC,VOA,17/06/2016,IT Contract,Corporate,CAPGEMINI UK PLC,5100002532,"-1,800,540.53"
HMRC,VOA,17/06/2016,IT Services,Corporate,Fujitsu Services Ltd,5100002534,"-393,195.52"
HMRC,VOA,21/06/2016,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,1700000556,"43,055.44"
HMRC,VOA,21/06/2016,Accommodation charges,Corporate,DWP,5100002626,"-74,467.70"
HMRC,VOA,21/06/2016,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100002630,"-210,133.98"
HMRC,VOA,22/06/2016,IT Services,Corporate,The Server Labs ltd,5100002649,"-155,188.75"
HMRC,VOA,22/06/2016,Business Rates,Corporate,BIRMINGHAM CITY C.  6004142345,5100002664,"-64,113.00"
HMRC,VOA,22/06/2016,IT Services,Corporate,APPNOVATION TECHNOLOGIES LTD.,5100002666,"-143,624.63"
HMRC,VOA,22/06/2016,IT Services,Corporate,XEROX (UK) LTD,5100002667,"-57,254.45"
HMRC,VOA,22/06/2016,Telephony,Corporate,MAIN-TEL (NE) LTD,5100002669,"-47,317.75"
HMRC,VOA,23/06/2016,Car Parking,Corporate,Realis Estate(SoT) Ltd,5100002682,"-28,274.40"
HMRC,VOA,27/06/2016,Training,Corporate,CAPITA BUSINESS SERVICES LTD,1900006956,"-36,026.58"
HMRC,VOA,28/06/2016,Acommodation charges,Corporate,DEFRA C/O CAPITA,5100002749,"-30,974.84"
HMRC,VOA,30/06/2016,Service Charge,Corporate,HMRC - (PAY CONT),1900010325,"-4,500,000.00"
HMRC,VOA,01/07/2016,Training,Corporate,CAPITA BUSINESS SERVICES LTD,1900010323,"-40,431.40"
HMRC,VOA,01/07/2016,Professional Services,Corporate,Nera UK Limited,5100002678,"-27,936.00"
HMRC,VOA,01/07/2016,Online subscription,Corporate,Cambridge Information Ltd,5100002844,"-36,633.60"
HMRC,VOA,01/07/2016,IT Services,Corporate,Cambridge Information Ltd,5100002845,"-75,750.00"
HMRC,VOA,05/07/2016,Process Redesign,Corporate,Deloitte Ltd Liability Partnership,5100002460,"-84,567.64"
HMRC,VOA,05/07/2016,Process Redesign,Corporate,Deloitte Ltd Liability Partnership,5100002508,"-82,657.38"
