Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2015110002,01/11/2015,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",IND,"Vehicles, servicing and spares",573.48,FORZA ENTERPRISES PVT.
FCOGPC2015110001,01/11/2015,AVIS RENT A CAR,BHR,Auto rental,525.15,AVIS
FCOGPC2015110004,01/11/2015,"CLEANING AND MAINTENANCE, JANITORIAL SERVICES",USA,Cleaning Services and Supplies,617.08,MAIDSAILORS.COM
FCOGPC2015110003,01/11/2015,"DRUG STORES, PHARMACIES",JOR,Medical Supplies and Services,609.08,ZABANEH PHARMACY-MC
FCOGPC2015110005,01/11/2015,HOTELS/MOTELS/RESORTS ,BGR,Hotels,719.19,ACCOMODATION PROVIDER
FCOGPC2015110006,01/11/2015,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,"1,130",FTC ECOM
FCOGPC2015110032,02/11/2015,AGRICULTURAL COOPERATIVES,FRA,Estate and garden Services,967.43,CHAMP POL ROGER VAD
FCOGPC2015110036,02/11/2015,AUTOMOTIVE SERVICE SHOPS,ITA,"Vehicles, servicing and spares","1,023.96",CARLUCCI AUTOFFICINA
FCOGPC2015110009,02/11/2015,AUTOMOTIVE TIRE STORES,QZZ,"Vehicles, servicing and spares",511.48,EURO GOMA
FCOGPC2015110037,02/11/2015,"BUILDING MATERIALS, LUMBER STORES",GBR,Building Materials,"1,044.89",MAYAK SERVICES LIMITED
FCOGPC2015110017,02/11/2015,CARPENTRY CONTRACTORS,NPL,Building Services,591.16,B.K SHRESTHA & BUILDER
FCOGPC2015110034,02/11/2015,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",GBR,Miscellaneous Industrial/Commercial Supplies,985,BREATHINGSPACE.CO.
FCOGPC2015110047,02/11/2015,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",GBR,Miscellaneous Industrial/Commercial Supplies,"2,241.20",BREATHINGSPACE.CO.
FCOGPC2015110008,02/11/2015,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",ISR,Computer Equipment & Services,502.69,PIKOK
FCOGPC2015110015,02/11/2015,DEPARTMENT STORES,TWN,General Retail and Wholesale,538.78,CINEMARK-CORE PACIFIC
FCOGPC2015110024,02/11/2015,ELECTRICAL CONTRACTORS,USA,Building Services,831.6,RCI SOUND SYSTEMS
FCOGPC2015110028,02/11/2015,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,942,RTS COMMUNICATIONS LTD
FCOGPC2015110033,02/11/2015,ELECTRONIC SALES,BGD,General Retail and Wholesale,973.18,CELLULAR MOBILE GULSHA
FCOGPC2015110035,02/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GRC,General Retail and Wholesale,"1,013.82",P.SARRHS KAI SIA EPE
FCOGPC2015110046,02/11/2015,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GRC,General Retail and Wholesale,"1,574.11",P.SARRHS KAI SIA EPE
FCOGPC2015110018,02/11/2015,FLOOR COVERING STORES,LBN,General Retail and Wholesale,683.3,IBRAHIM KHEIR ELDIN(MO
