Department Family,Entity,Date,Transaction number,Expense Type,Expense Area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,BLACKPOOL PRIMARY CARE TRUST,JUN-11-001,500188.00,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,BLACKPOOL PRIMARY CARE TRUST,JUN-11-001,89530.00,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,BLACKPOOL PRIMARY CARE TRUST,JUN-11-001,25715.00,-
Department of Health,Stockport Primary Care Trust,10/06/2011,JUN-11-258,Establishment,Information Technology,BT GLOBAL SERVICES,JUN-11-258,33373.42,-
Department of Health,Stockport Primary Care Trust,10/06/2011,JUN-11-538,Non-Healthcare Purchased from PCTs,Secondary Healthcare,BURY PRIMARY CARE TRUST,JUN-11-538,30651.00,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,JUN-11-001,68758.00,-
Department of Health,Stockport Primary Care Trust,07/07/2011,JUN-11-2131,Healthcare Purchased from PCTs,Secondary Healthcare,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,JUN-11-2131,-33786.48,-
Department of Health,Stockport Primary Care Trust,30/06/2011,JUN-11-1613,Purchase of Healthcare from Non-NHS bodies,Secondary Healthcare,CASTLEBECK CARE (TEESDALE) LTD,JUN-11-1613,26839.05,-
Department of Health,Stockport Primary Care Trust,16/06/2011,JUN-11-601,Purchase of Healthcare from Non-NHS bodies,Secondary Healthcare,CASTLEBECK CARE (TEESDALE) LTD,JUN-11-601,25973.27,-
Department of Health,Stockport Primary Care Trust,10/06/2011,JUN-11-266,Premises,Estates,CBRE LIVERPOOL PROPERTY MANAGEMENT CLIENT A/C,JUN-11-266,26566.33,-
Department of Health,Stockport Primary Care Trust,10/06/2011,JUN-11-267,Premises,Estates,CBRE LIVERPOOL PROPERTY MANAGEMENT CLIENT A/C,JUN-11-267,35553.05,-
Department of Health,Stockport Primary Care Trust,10/06/2011,JUN-11-269,Premises,Estates,CBRE LIVERPOOL PROPERTY MANAGEMENT CLIENT A/C,JUN-11-269,36911.79,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-484,Goods and Services from Foundation Trusts,Secondary Healthcare,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,JUN-11-484,362692.00,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,JUN-11-001,1382784.00,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,JUN-11-001,2253200.00,-
Department of Health,Stockport Primary Care Trust,15/06/2011,JUN-11-553,Healthcare Purchased from PCTs,Secondary Healthcare,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,JUN-11-553,-421395.00,-
Department of Health,Stockport Primary Care Trust,01/06/2011,JUN-11-001,Healthcare Purchased from PCTs,Secondary Healthcare,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,JUN-11-001,1072658.00,-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,"4,114.27",-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,"2,448.43",-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,"1,114.06",-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,415.09,-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,"15,447.53",-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,"21,895.71",-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,"15,082.25",-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1306,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1306,381.35,-
Department of Health,Stockport Primary Care Trust,24/06/2011,JUN-11-1307,Finance Lease,Estates,COMMUNITY IST STOCKPORT LTD,JUN-11-1307,"6,919.65",-
