Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"34,620.96",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"32,265.25",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"30,265.20",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"31,782.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"45,420.48",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,COURSE FEES,MEDICAL DIRECTOR,ARJO HUNTLEIGH,"34,436.64",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"26,385.50",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,MINOR CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDTRONIC LTD,"30,720.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"54,331.20",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"58,675.20",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,096.04",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"42,875.76",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,CELGENE LIMITED,"26,208.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"52,997.90",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/12/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,VISITING CONSULTANTS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",UNIVERSITY HOSPITALS OF LEICESTER NHS TR,"31,235.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"149,077.50",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"34,840.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"62,757.29",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/12/2012,MAINTENANCE CONTRACTS AND MATS,DIRECTOR OF SERVICE DELIVERY - ONCOLOGY & HAEMATOLOGY,ELEKTA LIMITED,"25,723.80",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,COURSE FEES,DIRECTOR OF NURSING,THE OPEN UNIVERSITY,"28,400.00",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,MEDICO HOMECARE,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,MEDCO HEALTH SOLUTIONS LTD,"36,622.56",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,SERVICES FROM NON-NHS BODIES,DIRECTOR OF SERVICE DELIVERY,SYNERGY HEALTH (UK) LTD,"64,918.35",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"27,302.34",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"202,702.50",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"35,918.28",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/12/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"92,964.96",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/12/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"26,762.64",Dec-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/12/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"52,656.35",Dec-12
