A3131 & 2. Expenditure Over Threshold Reports (AP) Oct 16,,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number,
Department of Health,Sussex Community NHS Foundation Trust,42704,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,20655777,"62,257.70",WSX0008,
Department of Health,Sussex Community NHS Foundation Trust,42704,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,20769970,"38,914.33",71406744OR,
Department of Health,Sussex Community NHS Foundation Trust,42704,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,20771369,"59,065.84","233,000,428.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Computer Software/License,IT Management,SECTOR IT SOLUTIONS LTD,20773140,"39,780.00","2,744.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Computer Software/License,IT Management,SECTOR IT SOLUTIONS LTD,20773146,"37,440.00","2,745.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Home Loans,Community Equipment WS,WEST SUSSEX COUNTY COUNCIL,20792053,"306,916.67","8,001,182,110.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,20792057,"44,387.21","1,017,133,735.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,20792070,"43,637.68","1,017,140,465.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,20792083,"39,251.60","1,017,146,538.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20792123,"50,709.32","6,017,057,969.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20792124,"45,921.60","6,017,059,439.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20792125,"172,557.08","6,017,058,283.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20792126,"72,462.00","6,017,057,971.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Commercial Sector,MSK - PCIS (W) WS,BMI HEALTHCARE COLLECTIONS,20801068,"25,981.56",050S05210916,
Department of Health,Sussex Community NHS Foundation Trust,42704,Computer Software/License,IT Management,PHOENIX PARTNERSHIP (LEEDS) LTD,20845678,"42,895.56","6,816.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,20891628,"1,098,922.01",334PM000021541707,
Department of Health,Sussex Community NHS Foundation Trust,42704,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,20891628,"1,675,781.58",334PM000021541707,
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,VODAFONE LTD,20964559,"89,127.80","81,807,058.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20964563,"172,557.08","6,017,067,672.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,20964565,"44,452.90","1,017,151,082.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20964591,"172,557.08","6,017,062,081.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,20964593,"172,557.08","6,017,064,040.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,20964594,"48,207.21","1,017,157,230.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Commercial Sector,Independent Beds Coastal,FOREVER CARE LTD,20982289,"26,057.14","4,489.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Lease Rents,Estates Bicentennial Building,JOHN WILEY & SONS LTD,20983261,"56,241.84","8,914,119.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,20996261,"49,606.47",71411516OR,
Department of Health,Sussex Community NHS Foundation Trust,42704,Services Received - NHSTs,Crawley Nurse M/ment WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,21034479,"216,836.00","11,954,579.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,MEDACS HEALTHCARE SERVICES PLC,21051292,"104,028.52","604,949,183.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,MEDACS HEALTHCARE SERVICES PLC,21051384,"60,389.86","604,963,832.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,21051394,"44,261.02","1,017,159,875.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,External Contractors,IT System One,NHS SOUTH EAST COMMISSIONING SUPPORT UNIT,21064482,"34,056.00","7,311,611,359.00",
Department of Health,Sussex Community NHS Foundation Trust,42704,Commercial Sector,West Sussex Tranforming Care Project,DOCOBO LTD,21087530,"420,000.00",PSI001463,
Department of Health,Sussex Community NHS Foundation Trust,42704,Other Public Sector,Mgt and Adm Adults East,HERE,21087541,"32,020.08",BICS591,
Department of Health,Sussex Community NHS Foundation Trust,42704,Commercial Sector,MSK - PCIS (W) WS,BMI HEALTHCARE COLLECTIONS,21105375,"25,671.98",050S05211016,
Department of Health,Sussex Community NHS Foundation Trust,42704,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,21106570,"55,053.48",WSX0010,
Department of Health,Sussex Community NHS Foundation Trust,42704,Services Received - NHSTs,SCD Hospital GA WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,21106578,"27,785.50",WSH1500022208,
Department of Health,Sussex Community NHS Foundation Trust,42704,NonNHS Trade Pybls Curr,Balance Sheet,,SSC DD4715051135 NAT WEST PURG,"30,579.81",,
Department of Health,Sussex Community NHS Foundation Trust,42704,Payroll Ded'ns N/S Curr,Balance Sheet,,CHILCARE VOUCHERS,"36,776.52",,
Department of Health,Sussex Community NHS Foundation Trust,42704,Commercial Sector,Deputy Director of Finance,,SSC SBS SLA,"60,817.87",,
Department of Health,Sussex Community NHS Foundation Trust,11/30/2016,CNST contributions,Governance,,SSC DD/NHSLA,"27,235.83 ",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,A3131,"5,708,348.78",,
,,,,,,A3132," 155,410.03 ",,
,,,,,,,,,
,,,,,,,"5,863,758.81",,
,,,,,,,,,
,,,,,,,,,
,,,,,,Check,-0.00 ,,
