Title:,Water put into public water supply: 1990/1 to 2010/11,,,,,,,,,,,,,,,,,,,,,,
Year:,1990/01 to 2010-11,,,,,,,,,,,,,,,,,,,,,,
Geography:,United Kingdom,,,,,,,,,,,,,,,,,,,,,,
Units:,Ml/Day,,,,,,,,,,,,,,,,,,,,,,
Source:,"Office of Water Services (Ofwat), Scottish Government Research and Environment Rural Affairs Department (RERAD), Scottish Government Agriculture, Environment and Fisheries Department (SOAEFD), Scottish Water, NI Water",,,,,,,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/iwfg14-drq/,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,
Release Date:,Jun-12,,,,,,,,,,,,,,,,,,,,,,
Notes:,"Since 2003 de-regulation of small abstractions set a threshold of 20 cubic metres per day as the value above which an abstraction licence will be required and now includes previously exempt activities such as dewatering, trickle irrigation and navigation within the licensing system. For further details see text.",,,,,,,,,,,,,,,,,,,,,,
,a.,Metered water is water measured at the point of delivery to premises.,,,,,,,,,,,,,,,,,,,,,
,b.,"Unmetered water includes leakage from the distribution system and water used for miscellaneous purposes such as firefighting, sewer",,,,,,,,,,,,,,,,,,,,,
,,"cleaning, water mains flushing and temporary supplies for construction sites.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ml/day,,
,,,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/9,2009/10,2010/11
,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,,,
,metered,a.,"4,824","4,785","4,646","4,572","4,687","4,676","4,743","4,791","4,866","5,076","5,142","5,464","5,509","5,704","5,765","5,826","5,814","5,873","5,820",5864,"6,015"
,unmetered,b.,"12,558","12,414","12,109","12,185","12,424","12,643","11,918","11,192","10,477","10,254","10,117","10,319","10,311","10,373","10,042","9,956","9,587","9,277","9,137",9059,9077
,,,,,,,,,,,,,,,,,,,,,,,
England and Wales total,,,"17,382","17,199","16,755","16,757","17,111","17,319","16,661","15,983","15,343","15,331","15,259","15,783","15,820","16,077","15,807","15,782","15,401","15,150","14,957",14923,"15,092"
,,,,,,,,,,,,,,,,,,,,,,,
Scotland,,,,,,,,,,,,,,,,,,,,,,,
,metered,a.,656,643,603,610,612,574,625,555,553,531,438,532,454,478,470,448,453,461,457,p,
,unmetered,b.,"1,645","1,596","1,603","1,662","1,651","1,748","1,686","1,782","1,775","1,832","1,962","1,876",1933,"1,919","1,920","1,896","1,856","1,810","1,833",p,
,,,,,,,,,,,,,,,,,,,,,,,
Scotland total,,,"2,301","2,239","2,206","2,272","2,263","2,322","2,312","2,336","2,329","2,363","2,400","2,408",2387,"2,397","2,390","2,344","2,309","2,271","2,290",p,
,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,
,metered,a.,143,152,186,184,188,186,187,174,158,157,147,144,156,151,148,145,144,139,134,,
,unmetered,b.,538,527,483,486,498,517,520,516,534,547,573,591,558,525,492,478,475,475,499,,
,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland total,,,681,679,669,670,686,703,707,690,692,704,720,735,714,676,640,623,619,614,633,,
,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
,metered,a.,"5,623","5,580","5,435","5,366","5,487","5,436","5,555","5,520","5,577","5,764","5,727","6,140","6,119","6,333","6,383","6,418","6,411","6,473","6,411",p,
,unmetered,b.,"14,741","14,537","14,195","14,333","14,573","14,908","14,124","13,490","12,786","12,633","12,652","12,786","12,802","12,817","12,454","12,331","11,918","11,562","11,469",p,
,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom total,,,"20,364","20,117","19,630","19,699","20,060","20,344","19,680","19,009","18,364","18,398","18,379","18,926","18,921","19,150","18,837","18,749","18,329","18,035","17,880",p,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Source: WSA; WCA; Ofwat (from 1991/2); RERAD (from 1999); NI Water and Scottish Water (From 2003),,,,,,,,,,,,,,,,,,,,,,,
