Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2502,Water,26/04/2018,0000209487,258.15,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2502,Water,26/04/2018,0000209533,1064.83,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2502,Water,26/04/2018,0000209536,294.88,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Information Technology,7500,Uniform/Confirm,19/04/2018,0000210762,6000.00,Capital,Idox Software Ltd,00661
Rushmoor Borough Council,Community,2502,Water,26/04/2018,0000211585,-1064.83,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2502,Water,26/04/2018,0000211587,-294.88,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2502,Water,26/04/2018,0000211594,-258.15,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Community,2506,Water,26/04/2018,0000212663,289.48,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Democratic Services,1327,Security Services,26/04/2018,0000213021,546.90,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Holding Accounts,9446,Community Safety Partnership,12/04/2018,0000213384,2615.00,Holding Accounts,Graffiti Removal (South) Limited,07403
Rushmoor Borough Council,Community,2537,External Printing,12/04/2018,0000213476,540.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Community,2538,External Printing,12/04/2018,0000213476,660.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Community,2537,Stationery,12/04/2018,0000213479,-540.00,Revenue,Bemrosebooth Ltd,04104
Rushmoor Borough Council,Information Technology,3307,Mobile Phones,12/04/2018,0000213530,466.65,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Community,2518,Payment to Artistes,12/04/2018,0000213542,2500.00,Revenue,Avalon Promotions Limited,04015
Rushmoor Borough Council,Community,2551,Caskets and Urns,12/04/2018,0000213552,561.60,Revenue,Ashdown Supplies,00118
Rushmoor Borough Council,Information Technology,3305,Canteen Subsidy,12/04/2018,0000213573,421.68,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Community,6541,Contract Costs,12/04/2018,0000213581,895.00,Capital,Places For People Leisure,04797
Rushmoor Borough Council,Community,2558,Payment to Contractor Sums,12/04/2018,0000213582,2400.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2559,Payment to Contractor Sums,12/04/2018,0000213582,1550.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2560,Payment to Contractor Sums,12/04/2018,0000213582,1050.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2558,Payment to Contractor Sums,12/04/2018,0000213583,5000.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2558,Payment to Contractor Sums,12/04/2018,0000213585,15000.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Information Technology,3304,Network Software,12/04/2018,0000213591,4912.62,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,Network Software,12/04/2018,0000213592,596.24,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,6573,Contract Costs,12/04/2018,0000213593,950.00,Capital,Hrs Services Ltd,14658
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,12/04/2018,0000213596,3920.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1208,Building Maintenance,12/04/2018,0000213597,630.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1208,Building Maintenance,12/04/2018,0000213597,360.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1208,Building Maintenance,12/04/2018,0000213597,730.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,12/04/2018,0000213599,3640.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2550,Memorial Safety,12/04/2018,0000213601,1540.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1210,Contract Staff,12/04/2018,0000213602,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Community,6565,Contract Costs,19/04/2018,0000213603,1360.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Information Technology,3302,Application Software,12/04/2018,0000213604,257.64,Revenue,Bottomline Technologies,05191
Rushmoor Borough Council,Environmental Health and Housing,2247,Consultancy,12/04/2018,0000213624,431.24,Revenue,Sgw Safety & Security Limited,14822
Rushmoor Borough Council,Environmental Health and Housing,2246,Consultancy,12/04/2018,0000213624,431.24,Revenue,Sgw Safety & Security Limited,14822
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,12/04/2018,0000213625,1338.00,Revenue,Cms Training Ltd,09370
Rushmoor Borough Council,Strategy and Communiations,1404,Operational Equipment,12/04/2018,0000213628,573.29,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2551,Operational Equipment,12/04/2018,0000213629,796.66,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Community,2551,Operational Equipment,12/04/2018,0000213630,418.91,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Legal,1210,Contract Staff,12/04/2018,0000213632,822.80,Revenue,Hays,02287
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,12/04/2018,0000213634,500.04,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Information Technology,3302,Application Software,12/04/2018,0000213636,5175.57,Revenue,Bottomline Technologies,05191
Rushmoor Borough Council,Information Technology,3304,Internet,12/04/2018,0000213638,4437.00,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,19/04/2018,0000213645,527.40,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,19/04/2018,0000213646,9216.80,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Environmental Health and Housing,2211,Agency Staff,12/04/2018,0000213648,358.87,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3302,Application Software,12/04/2018,0000213652,6175.00,Revenue,Goss Interactive Limited,05830
Rushmoor Borough Council,Community,2551,Memorial Expenses,12/04/2018,0000213657,305.00,Revenue,Vivedia Ltd,13434
Rushmoor Borough Council,Information Technology,7500,Web Developments,12/04/2018,0000213659,1290.00,Capital,Profectus Group Ltd,14309
Rushmoor Borough Council,Financial Services,3401,Equipment Maintenance,19/04/2018,0000213661,388.45,Revenue,Twofold Limited,13140
