Country,Institution Type,Number of Unique Institutions,Number of Unique Programmes
Afghanistan,Arts organisation/Artist,1,1
Afghanistan,HE institution,20,3
Afghanistan,Other,1,1
Afghanistan,"School (nursery, early years, primary, secondary)",29,1
Albania,Arts organisation/Artist,2,1
Albania,Creative industries,1,1
Albania,FE institution,4,1
Albania,HE institution,8,1
Albania,NGO/Community Organisation,2,1
Albania,Other,7,3
Albania,"School (nursery, early years, primary, secondary)",2,2
Albania,Youth organisation,1,1
Algeria,Arts organisation/Artist,1,2
Algeria,FE institution,5,2
Algeria,HE institution,4,1
Algeria,NGO/Community Organisation,2,2
Algeria,Other,4,1
Algeria,"School (nursery, early years, primary, secondary)",13,2
Angola,HE institution,3,1
Anguilla,HE institution,1,1
Antigua and Barbuda,HE institution,2,1
Argentina,Arts organisation/Artist,6,3
Argentina,Creative industries,1,1
Argentina,FE institution,2,2
Argentina,"Government Organisation (national, regional, local)",2,1
Argentina,HE institution,15,5
Argentina,NGO/Community Organisation,1,1
Argentina,Other,5,3
Argentina,"School (nursery, early years, primary, secondary)",41,4
Armenia,Arts organisation/Artist,4,1
Armenia,Creative industries,1,1
Armenia,FE institution,1,1
Armenia,HE institution,6,1
Armenia,NGO/Community Organisation,6,2
Armenia,Other,7,4
Armenia,Youth organisation,1,1
Australia,Arts organisation/Artist,20,5
Australia,Creative industries,1,1
Australia,FE institution,2,2
Australia,"Government Organisation (national, regional, local)",4,1
Australia,HE institution,12,6
Australia,Other,4,3
Australia,Politician,1,1
Australia,"School (nursery, early years, primary, secondary)",36,3
Austria,FE institution,12,6
Austria,"Government Organisation (national, regional, local)",3,2
Austria,HE institution,67,6
Austria,NGO/Community Organisation,15,5
Austria,Other,5,3
Austria,"School (nursery, early years, primary, secondary)",147,9
Azerbaijan,Arts organisation/Artist,1,1
Azerbaijan,Creative industries,2,2
Azerbaijan,HE institution,4,2
Azerbaijan,NGO/Community Organisation,3,2
Azerbaijan,"School (nursery, early years, primary, secondary)",3,1
Azerbaijan,Youth organisation,1,1
Bahrain,Arts organisation/Artist,20,3
Bahrain,Creative industries,1,1
Bahrain,English Language School,1,1
Bahrain,FE institution,2,1
