CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,9444,92.2%,794,7.8%
P01-Avon&Somerset,312,94.3%,19,5.7%
P02-Bedfordshire,121,93.8%,8,6.2%
P03-Cambridgeshire,128,91.4%,12,8.6%
P04-Cheshire,165,94.8%,9,5.2%
P06-Cleveland,224,92.2%,19,7.8%
P07-Cumbria,87,91.6%,8,8.4%
P08-Derbyshire,151,90.4%,16,9.6%
P09-Devon&Cornwall,175,88.4%,23,11.6%
P10-Dorset,83,93.3%,6,6.7%
P11-Durham,134,94.4%,8,5.6%
P12-DyfedPowys,53,94.6%,3,5.4%
P13-Essex,287,91.1%,28,8.9%
P14-Gloucestershire,81,93.1%,6,6.9%
P15-GreaterManchester,591,94.3%,36,5.7%
P16-Gwent,108,92.3%,9,7.7%
P17-Hampshire,316,89.3%,38,10.7%
P18-Hertfordshire,175,92.1%,15,7.9%
P19-Humberside,220,96.5%,8,3.5%
P20-Kent,305,92.7%,24,7.3%
P21-Lancashire,313,92.6%,25,7.4%
P22-Leicestershire,131,92.3%,11,7.7%
P23-Lincolnshire,121,92.4%,10,7.6%
P24-Merseyside,270,88.5%,35,11.5%
P25-Metropolitan&City,1321,91.5%,123,8.5%
P26-Norfolk,131,90.3%,14,9.7%
P27-Northamptonshire,93,92.1%,8,7.9%
P28-Northumbria,454,94.4%,27,5.6%
P29-NorthWales,115,92.7%,9,7.3%
P30-NorthYorkshire,153,91.6%,14,8.4%
P31-Nottinghamshire,203,96.2%,8,3.8%
P32-SouthWales,260,92.2%,22,7.8%
P33-SouthYorkshire,232,93.9%,15,6.1%
P34-Staffordshire,168,95.5%,8,4.5%
P35-Suffolk,106,96.4%,4,3.6%
P36-Surrey,83,89.2%,10,10.8%
P37-Sussex,210,90.1%,23,9.9%
P38-ThamesValley,287,89.1%,35,10.9%
P39-Warwickshire,49,96.1%,2,3.9%
P40-WestMercia,158,99.4%,1,0.6%
P41-WestMidlands,458,94.6%,26,5.4%
P42-WestYorkshire,347,85.7%,58,14.3%
P43-Wiltshire,65,85.5%,11,14.5%
