Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,03/08/2016,"2,044.37"
Design Services,442 Design,Capital Expenditure,Office Expenses,26/08/2016,"1,650.00"
Design Services,442 Design,Capital Expenditure,Office Expenses,18/08/2016,"1,350.00"
Transport and Travel,A AND G Duncan - Taxis,Childrens & Educational Services,Leasing /Transport Hire,09/08/2016,"1,510.40"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,894.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,"1,118.60"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,588.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,578
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,10.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,911.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,"1,186.60"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,615.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,567.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,03/08/2016,10.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,924.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,992.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,669.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,656.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,839.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,972.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,676.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,649.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,17/08/2016,13.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,914.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,941.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,686.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,788.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,10.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,911.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,945.2
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,669.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,"1,006.40"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,31/08/2016,10.2
ICT Consultancy / Support,A N Computing,Public Health,Information and Communications Technology,19/08/2016,"2,480.00"
Legal Services,A2I TRANSCRIPTION SERVICES,Planning Services,Office Expenses,19/08/2016,759.05
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,03/08/2016,"8,976.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,03/08/2016,"3,172.20"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,03/08/2016,20.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,03/08/2016,"9,003.20"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,03/08/2016,"3,182.40"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,03/08/2016,6.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,17/08/2016,"8,897.80"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,17/08/2016,"3,226.60"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,17/08/2016,20.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,17/08/2016,"8,656.40"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,17/08/2016,"3,247.00"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,17/08/2016,23.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,31/08/2016,"8,404.80"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,31/08/2016,"3,461.20"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,31/08/2016,20.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,31/08/2016,"8,367.40"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,31/08/2016,"3,216.40"
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,31/08/2016,13.6
Social Care Services,Abacus Homecare,Adult Social Care,Information and Communications Technology,03/08/2016,-599.08
Vendor One,ABBEYFIELD UK - BRAMHALL,Adult Social Care,Care Payments,01/08/2016,"-1,379.84"
Vendor One,ABBEYFIELD UK - BRAMHALL,Adult Social Care,Care Payments,01/08/2016,"2,931.28"
Office Equipment,ABC DIGITAL SOLUTIONS LTD,Central Support Costs,Office Expenses,04/08/2016,737.47
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,03/08/2016,622.2
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,03/08/2016,819.4
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,17/08/2016,856.8
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,17/08/2016,822.8
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,31/08/2016,510
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,31/08/2016,659.6
Social Care Services,Ablewell Care,Adult Social Care,Care Payments,19/08/2016,704
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,01/08/2016,"-1,501.52"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,01/08/2016,"2,800.00"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,22/08/2016,-713.57
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,22/08/2016,"1,731.43"
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,22/08/2016,333.57
Social Care Services,About Me Care and Support Ltd,Adult Social Care,Care Payments,24/08/2016,876.24
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,615.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,197.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,20.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,285.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,591.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,"3,770.60"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,863.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,615.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,204
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,34
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,272
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,561
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,"3,733.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,03/08/2016,962.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,615.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,200.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,34
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,268.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,530.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,"3,763.80"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,"1,111.80"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,595
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,197.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,34
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,261.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,482.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,"4,192.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,17/08/2016,992.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,23/08/2016,163.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,23/08/2016,367.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,618.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,200.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,34
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,261.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,544
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,"4,063.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,996.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,642.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,190.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,34
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,204
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,550.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,"3,801.20"
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,31/08/2016,"1,043.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,170
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,"1,924.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,496.4
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,"1,788.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,"1,349.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,142.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,142.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,"2,091.00"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,595
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,"1,604.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,"1,774.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,03/08/2016,102
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,142.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,"2,519.40"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,448.8
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,"1,591.20"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,"1,927.80"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,102
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,105.4
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,"2,580.60"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,442
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,"1,509.60"
Social Care Services,Absolute Care At Home Ltd,Adult Social Care,Care Payments,17/08/2016,"1,989.00"
