Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2016,Network and infrastructure H/W,IT Directorate,Amz*ballicom Limited,H57720160213ihirtwoew,155.65,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/02/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160210fsanodbok,457.89,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/02/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160210vpuggigwl,87.49,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/01/2016,Network and infrastructure H/W,IT Directorate,Currys S/s,H57720160202ltaofoica,-34.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/02/2016,T&S UK,IT Directorate,Hrg UK Inh205194845,H57720160223diqoefbmg,541.93,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/02/2016,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720160206ecxckltwi,47.86,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/01/2016,Software Maintenance,IT Directorate,Amazon UK Retail,H57720160202evpfpghin,63.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2016,Perpetual Licences,IT Directorate,Meetingzone Ltd,H57720160220cxzshmxxf,405.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/02/2016,Fixed Telecoms Equipment,IT Directorate,Www.Zen.Co.Uk,H57720160217csrbesuuh,108.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/02/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160217ovxpimlhj,310.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160213xpfhworpq,143.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/02/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160203glipfegpc,240.36,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/02/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160203timpaweyh,168.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/02/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160203wfoqofhdu,240.48,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/02/2016,Perpetual Licences,IT Directorate,J2,H57720160211xmwutaoim,24.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/02/2016,Perpetual Licences,IT Directorate,Liquid 11 Ltd,H57720160204yzgltusvp,17.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2016,Network and infrastructure H/W,IT Directorate,Ebuyer (UK) Ltd,H57720160216wxxdthtib,172.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/02/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160210smeomfbqz,46.01,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/01/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160202dghpenrmn,89.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/02/2016,Perpetual Licences,IT Directorate,Www.Netsecrets.Co.Uk,H57720160224xesedxofc,420.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/01/2016,Software Maintenance,IT Directorate,Browserstack.Com,H57720160202wxjeyiicy,172.04,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/02/2016,Legal Consultancy,IT Directorate,Asda Superstore 4928,H57720160204mczxhxyqs,3.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/02/2016,Career Development Services,IT Directorate,Eb Service Design In,H57720160227juyecszud,190.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/02/2016,Career Development Services,IT Directorate,Eb Service Design In,H57720160227udfsedylk,350.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/02/2016,Perpetual Licences,IT Directorate,Amazon UK Retail,H57720160225demvvluno,124.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/02/2016,Career Development Services,IT Directorate,General Assembly,H57720160209krmaqqboh,34.86,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/02/2016,T&S O-seas excl EPOQUE,IT Directorate,Aramark/schulich Schoo,H57720160209pbvoxywrr,87.06,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/02/2016,T&S O-seas excl EPOQUE,IT Directorate,Aramark/schulich Schoo,H57720160209untcpuqnr,87.06,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/02/2016,Perpetual Licences,IT Directorate,Trello,H57720160204chcscnvih,6.01,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/01/2016,Perpetual Licences,IT Directorate,Trello,H57720160202kcjagyrcj,6.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160213dwikwglxo,197.89,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/02/2016,Entertainment,People Places & Serv Direct,Marksandspencer.Co,H57720160225lsrpqifrl,58.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2016,Books,Innovation Directorate,Centaur Magazine Subsc,H57720160213jfdclbeor,182.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/02/2016,Books,Innovation Directorate,Hpsl/cds,H57720160213ptdyrnpmr,227.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/02/2016,Books,Innovation Directorate,Private Eye,H57720160212fypmivipz,28.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/02/2016,Career Development Services,Innovation Directorate,Civil Service Learning,H57720160203vfiphqxro,300.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/02/2016,Books,Innovation Directorate,Economist Subscription,H57720160210fxmgjrlhv,126.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/02/2016,Books,Innovation Directorate,Economist Subscription,H57720160210wgvvhwerk,126.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/02/2016,Legal Consultancy,Innovation Directorate,Futurelearncom,H57720160206femgdlkry,35.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/02/2016,Career Development Services,Innovation Directorate,Ugcs Limited,H57720160216hftxvwlcz,240.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/02/2016,Career Development Services,Innovation Directorate,Asda Superstore 4928,H57720160211ajwphukmq,51.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2016,Books,Innovation Directorate,Amazon UK Marketplace,H57720160226gbmhdmmct,125.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/02/2016,Books,Innovation Directorate,Amazon UK Marketplace,H57720160225xksysrmqw,60.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/02/2016,T&S UK,Innovation Directorate,Holiday Inn Stratford,H57720160225ldxlycroh,107.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,T&S UK,Innovation Directorate,Hrg UK Inm043966381,H57720160202jnzuvudei,3.07,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/02/2016,Advertising Distribution,Innovation Directorate,Twitonomy.Com,H57720160209mtcbgjgjb,13.52,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/02/2016,Advertising Distribution,Innovation Directorate,Anchor Exhibitions & E,H57720160203yytvczvik,128.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/02/2016,Seminars and Confereces,Innovation Directorate,Index Group Shell,H57720160301pwflcedqu,365.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/02/2016,Seminars and Confereces,Innovation Directorate,Wdt London,H57720160301thtyxnskw,537.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/02/2016,Career Development Services,Finance Directorate,Www.Cips.Org,H57720160204gvgmoaaak,195.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/02/2016,Career Development Services,Finance Directorate,Www.Cips.Org,H57720160204jgutyyvbm,195.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/02/2016,Books,Finance Directorate,Www.Cips.Org,H57720160204qpulcmmdu,167.79,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/02/2016,Entertainment,Finance Directorate,Amazon UK Marketplace,H57720160223fouwgqqft,2.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2016,Entertainment,Finance Directorate,Amazon UK Marketplace,H57720160220nohpxpjau,2.62,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2016,Entertainment,Finance Directorate,Amazon UK Marketplace,H57720160220nueyvohrw,2.26,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2016,Entertainment,Finance Directorate,Amazon UK Marketplace,H57720160220txlnjipua,14.38,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2016,Entertainment,Finance Directorate,Amazon UK Marketplace,H57720160220vdulinjxu,8.09,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/02/2016,Entertainment,Finance Directorate,Amazon UK Marketplace,H57720160220xornussrd,3.75,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2016,Office Stationery,Finance Directorate,Www.Bhma.Co.Uk,H57720160226tmkudcyhq,77.17,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160226tsqkggagg,12.94,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160218xxbupkorm,8.25,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/02/2016,Office Stationery,Finance Directorate,Www.Bhma.Co.Uk,H57720160212dcxgealwh,141.25,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/02/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160226igdichned,319.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/02/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160226itkqkvfuc,272.42,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/02/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160226jpkpjvikl,225.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/02/2016,Office Stationery,Finance Directorate,Www.Toner-Ink-Cartridg,H57720160219kjtrfoetz,75.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/02/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160218egmagioer,112.46,Not Applicable,
