,,,,Department for Culture Media and Sport ,,,,,,,
,,,,,,,,,,,
,,,,Prompt Payment Monthly Statistics ,,,,,,,
,,,,,,,,,,,
Month ,Number of ,Value of ,Number of ,Volume of ,Value of ,Number of ,Volume of ,Value of ,Number of ,Volume of ,Value of 
,Invoices  ,Invoices  ,Invoices  ,invoices ,Invoices  ,Invoices  ,invoices ,Invoices  ,Invoices  ,invoices ,Invoices  
,paid in ,paid in ,paid within ,paid within ,paid within ,paid within ,paid within ,paid within ,paid within ,paid within ,paid within 
,month ,month ,5 working ,5 working ,5 working ,10 working ,10 working ,10 working ,30 working,30 working ,30 working
,,,days ,days ,days ,days ,days ,days ,days,days ,days
,,(£),,(%),(£),,(%),(£),,(%),(£)
Apr-12,463,6056406,328,70.84,2768957.71,425,91.79,4285270,459,99.14,5950009
May-12,453,5988788,363,8013,3627606,430,94.92,5669576,448,98.9,5936249.02
Jun-12,463,6312194.76,381,82.29,5382170.01,439,94.82,5653351,462,99.78,6306195
Jul-12,592,4287933,513,86.66,2732823.02,574,96.96,3624784.09,590,99.66,4287708.2
Aug-12,,,,,,,,,,,
Sep-12,,,,,,,,,,,
Oct-12,,,,,,,,,,,
Nov-12,,,,,,,,,,,
Dec-12,,,,,,,,,,,
Jan-13,,,,,,,,,,,
Feb-13,,,,,,,,,,,
Mar-13,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
