25K Expenditure March 2015,,,,,,,,,,,
,,,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount,Invoice Amount,Reclaimable VAT,Description,Line Type
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Mar-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,PENNINE ACUTE HOSPITALS NHS TRUST,116373,"200,000.00","200,000.00",,V5064635 SPECIALIST REGISTRAR ESTIMATES MARCH 2015,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Mar-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,PENNINE ACUTE HOSPITALS NHS TRUST,116391,"100,000.00","100,000.00",,V5064634 GP TRAINEE ESTIMATE MAR 15,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Mar-15,CONSULTANT,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,320808,"32,840.00",,,V5062784 HISTOPATHOLOGY PAY RECHARGES DEC 14,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Mar-15,B3 PROF & TECHNICAL,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,320808,"1,612.00",,,V5062784 HISTOPATHOLOGY PAY RECHARGES DEC 14,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Mar-15,B6 PROF & TECHNICAL,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,320808,"9,616.00",,,V5062784 HISTOPATHOLOGY PAY RECHARGES DEC 14,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Mar-15,B8A PROF & TECHNICAL,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,320808,"5,021.00",,,V5062784 HISTOPATHOLOGY PAY RECHARGES DEC 14,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Mar-15,B3 PROF & TECHNICAL,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,320808,"3,186.00",,,V5062784 HISTOPATHOLOGY PAY RECHARGES DEC 14,Item
PATHOLOGY,Tameside NHS Foundation Trust,19-Mar-15,B7 PROF & TECHNICAL,PATHOLOGY,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,320808,"4,075.00","56,350.00",,V5062784 HISTOPATHOLOGY PAY RECHARGES DEC 14,Item
CL - CAPITAL CREDITOR,Tameside NHS Foundation Trust,24-Mar-15,CAPITAL CREDITORS < ONE YEAR,CL - CAPITAL CREDITOR,JOHN TURNER CONSTRUCTION GROUP,3060,"28,248.90","28,486.29",237.39,V5020308 CAPITAL 4310077770 MR/CT SCANNER,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Mar-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015197002,"92,544.90","92,544.90",,V5061715 NHS PRODUCT SALES W/E 30/01/15,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Mar-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015200634,"85,399.92","85,399.92",,V5062957 NHS PRODUCT SALES W/E 06/02/15,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Mar-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015206865,"51,974.13","51,974.13",,V5063550 SUPPLY CHAIN GOODS W.E 13/02/15,Nonrecoverable Tax
