CPS outcomes by principal offence category north_yorkshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0.0%,1,100.0%
B Offences Against The Person,126,83.4%,25,16.6%
C Sexual Offences,5,55.6%,4,44.4%
D Burglary,19,79.2%,5,20.8%
E Robbery,5,100.0%,0,0.0%
F Theft And Handling,174,93.5%,12,6.5%
G Fraud And Forgery,10,76.9%,3,23.1%
H Criminal Damage,49,90.7%,5,9.3%
I Drugs Offences,50,94.3%,3,5.7%
J Public Order Offences,101,84.9%,18,15.1%
K All Other Offences (excluding Motoring),48,80.0%,12,20.0%
L Motoring Offences,147,92.5%,12,7.5%
Admin Finalisations,0,0.0%,4,100.0%
TOTAL,734,87.6%,104,12.4%
