Government Procurement Card Spend over œ500.00 (May 2011 Transactions),,,,
,,,,
,,,,
Post Date,Merchant Name,Amount,Reference Number,Description
04/05/2011,AZCOM BUSINESS,"œ3,600.00",7.46786E+22,removal of kitchen equipments
06/05/2011,BRITISH A,"œ1,322.26",7.49168E+22,travel / accomodation
11/05/2011,ADDISON LEE PLC,"œ1,886.71",7.4929E+22,taxis April
13/05/2011,BRITISH A,-œ661.13,7.49168E+22,credit
13/05/2011,BRITISH A,-œ661.13,7.49168E+22,credit
18/05/2011,ST JOHN AMBULANCE,œ615.60,7.4929E+22,first aid courses
18/05/2011,WWW.CORONAENERGY.C,œ726.12,7.4929E+22,utilities
27/05/2011,WWW.GAMBLINGCOMMIS,"œ34,293.19",7.4929E+22,licence re sale of the tote
,,,,
,,"œ41,121.62",,
