Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/08/2014,Computer Network Costs,PRIMARY CARE IT,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101484,"(49,395.60)",CREDI TON ACCOUNT STR0000041508,
Department of Health,03F,31/08/2014,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400005763,"30,876.00",NCA ACTIVITY 14/15 JUNE,
Department of Health,03F,31/08/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,263,"(49,881.00)",CREDIT RAISED FOR Q4 CQUIN RECONCILITATION 13/14,
Department of Health,03F,31/08/2014,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,HULL CITY COUNCIL,1000192036,"42,406.20",RECHARGE IN RESPECT OF THERAPY,
Department of Health,03F,31/08/2014,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101998,"236,587.00",COMMISSIONING SUPPORT PER SLA ADMIN AUGUST 2014,
Department of Health,03F,31/08/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102031,"47,988.08",COMMISSIONING SUPPORT PER SLA PROGRAMME AUGUST 2014,
Department of Health,03F,31/08/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310102087,"52,233.00","GP IT SLA £626,796 Programme - Aug 14",
Department of Health,03F,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010002978,"463,250.32",THERAPY SERVICES BASELINE BLOCK CONTRACT AUGUST 2014,
Department of Health,03F,31/08/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002980,"2,438,191.20",CHARGE FOR MENTAL HEALTH BASELINE AUGUST 2014,
Department of Health,03F,31/08/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002981,"30,470.83",CHARGE FOR MENTAL HEALTH 50% CQUIN VALUE AUGUST 2014,
