Date,Supplier,Amount,Type,Comments
27/03/2012,"THE OXFORD GROUP CONSULTING & TRAINING, OXON","£3,240.00",Training and development,Design work for Divisional Development Events
28/03/2012,"JESSOPS, LONDON SW1P ",£532.71,Communications,Replacement camera for use in communicating Agency messages in a professional manner. 
16/04/2012,"FACULTY OF PHARMACEUTICAL MEDICINE, LONDON",£960.00,Training and development,Professional assessor training
17/04/2012,ISPOR,£512.76,Conferences and events,Attendance at an international scientific conference run by the International Society for Pharmacoeconomics and Outcomes Research
17/04/2012,UNIVERSITY OF ST ANDREWS,£565.00,Training and development,Attendance on Advanced Analysis of Linked Health Data course
20/04/2012,ROYAL PHARMACEUTICAL SOCIETY,£800.00,Training and development,Professional assessor training
20/04/2012,"THE CHANCERY PAVILION, BANGALORE ",£838.74,Travel and subsistence,Accommodation for inspection
20/04/2012,"JW MARRIOTT DESERT RIDGE RESORT, ARIZONA",£646.72,Travel and subsistence,Accommodation for inspection
24/04/2012,"DIAL-A-FLIGHT, LONDON SE1",£840.50,Conferences and events,Travel to speak at international meeting
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
