CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,53,82.8%,11,17.2%
P01-Avon&Somerset,3,75.0%,1,25.0%
P02-Bedfordshire,0,0,0,0
P03-Cambridgeshire,0,0,0,0
P04-Cheshire,0,0,0,0
P06-Cleveland,0,0,0,0
P07-Cumbria,0,0,0,0
P08-Derbyshire,0,0,0,0
P09-Devon&Cornwall,0,0,0,0
P10-Dorset,0,0,0,0
P11-Durham,2,100.0%,0,0.0%
P12-DyfedPowys,1,100.0%,0,0.0%
P13-Essex,1,100.0%,0,0.0%
P14-Gloucestershire,0,0,0,0
P15-GreaterManchester,2,66.7%,1,33.3%
P16-Gwent,0,0,0,0
P17-Hampshire,3,75.0%,1,25.0%
P18-Hertfordshire,0,0,0,0
P19-Humberside,0,0,0,0
P20-Kent,0,0,0,0
P21-Lancashire,1,100.0%,0,0.0%
P22-Leicestershire,0,0,0,0
P23-Lincolnshire,0,0,0,0
P24-Merseyside,3,100.0%,0,0.0%
P25-Metropolitan&City,10,100.0%,0,0.0%
P26-Norfolk,0,0,0,0
P27-Northamptonshire,0,0.0%,1,100.0%
P28-Northumbria,1,50.0%,1,50.0%
P29-NorthWales,1,100.0%,0,0.0%
P30-NorthYorkshire,0,0,0,0
P31-Nottinghamshire,1,100.0%,0,0.0%
P32-SouthWales,1,100.0%,0,0.0%
P33-SouthYorkshire,3,100.0%,0,0.0%
P34-Staffordshire,1,100.0%,0,0.0%
P35-Suffolk,0,0,0,0
P36-Surrey,1,100.0%,0,0.0%
P37-Sussex,1,100.0%,0,0.0%
P38-ThamesValley,2,66.7%,1,33.3%
P39-Warwickshire,5,100.0%,0,0.0%
P40-WestMercia,0,0.0%,1,100.0%
P41-WestMidlands,6,100.0%,0,0.0%
P42-WestYorkshire,4,66.7%,2,33.3%
P43-Wiltshire,0,0.0%,2,100.0%
