CPS outcomes by principal offence category cumbria,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,100.0%,0,0.0%
B Offences Against The Person,93,85.0%,15,15.0%
C Sexual Offences,6,60.0%,0,40.0%
D Burglary,23,89.3%,2,10.7%
E Robbery,4,100.0%,0,0.0%
F Theft And Handling,87,95.3%,8,4.7%
G Fraud And Forgery,8,100.0%,3,0.0%
H Criminal Damage,41,85.9%,3,14.1%
I Drugs Offences,41,95.7%,0,4.3%
J Public Order Offences,111,93.8%,9,6.3%
K All Other Offences (excluding Motoring),36,85.1%,8,14.9%
L Motoring Offences,130,87.5%,25,12.5%
Admin Finalisations,0,0.0%,4,100.0%
TOTAL,580,88.3%,77,11.7%
