"Publication of Spend NEP 25k Publication of User Defined Spend Amount Paid >£25k (Payment Date) Parameters : AP-ORG ID : '322' , AP-PAYMENT DATE START : '01-AUG-2011' , AP-PAYMENT DATE END : '31-AUG-2011' , AP-MINIMUM PAYMENT LIMIT : '25000.00' , INCLUDE RECLAIMABLE VAT? : 'N' Report Run : 02-SEP-11  10.53.25 AM",,,,,,,,

Org Id:322,,,,,,,,

Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,DRUGS,PHARMACY,AAH HOSPITAL SERVICE,ASC3655,"23,641.09",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,DRUGS,PHARMACY,,,"4,728.22","28,369.31 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,DRUGS,PHARMACY,,ASC3666,"23,985.26",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,DRUGS,PHARMACY,,,"4,797.06","28,782.32 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,DRUGS,PHARMACY,,ASC3671,"38,564.92",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,05/08/2011,DRUGS,PHARMACY,,,"7,712.99","46,277.91 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,DRUGS,PHARMACY,,ASC3683,"27,824.86",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,DRUGS,PHARMACY,,,"5,564.98","33,389.84 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,DRUGS,PHARMACY,,ASC3706,"36,339.47",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,DRUGS,PHARMACY,,,"7,267.89","43,607.36 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,ABBOTT LABORATORIES LTD,4374695,"6,198.72",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,19/08/2011,LABORATORY REAGENTS,PATHOLOGY,,,"5,492.52",0.00 
