A3131 - Expenditure Over Threshold,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Note : This Report has a prompt “Threshold Amount” which is mapped to AP Invoice Total Amount i.e. Invoice Header Amount (column Threshold Amount is not available in the report output). The AP Amount column on the report represents the invoice distribution amount (which is not Invoice header amount).,,,,,,,,,
Time run: 01/12/2017 10:22:33,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bury CCG,30/11/2017,Clinical&Medical-Othe Public Sector,NCAS/OATS,HIGHLAND HEALTH BOARD,19521766,"26,243.54 ",654850909,H0189481
Department of Health,NHS Bury CCG,30/11/2017,Clinical&Medical-Independent Sector,OUT OF HOURS,BARDOC,19521957,"128,413.40 ",,7154
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST LANCASHIRE HOSPITALS NHS TRUST,19558827,"57,267.51 ",,E0087994
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,19558830,"104,826.08 ",,28377
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Variation,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,19558866,"38,572.00 ",,1010025133
Department of Health,NHS Bury CCG,30/11/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,19558920,"62,380.05 ",GB 426505170,1051117
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,19558922,"1,091,762.00 ",654939786,S0009714
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,19558985,"821,426.58 ",,0001045012
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,19559004,"89,654.00 ",GB654951509,55570747
Department of Health,NHS Bury CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,19575626,"160,820.73 ",,0000349099
